variant,seed,n_sources,n_cleared,clear_ratio,certified,virtual_time_s,avg_locate_clear_time_s,n_actions,error,wall_s
Full,1,13,13,1.0,1,4677.6224661082115,359.8171127775547,163,,5.5
Full,2,15,15,1.0,1,4632.703373459522,308.8468915639681,166,,0.04700000000048021
Full,3,15,15,1.0,1,4697.211994439334,313.1474662959556,173,,0.0319999999992433
Full,4,15,15,1.0,1,4484.14726911141,298.943151274094,170,,0.046000000000276486
Full,5,14,14,1.0,1,4830.501371975044,345.0358122839317,172,,0.06300000000010186
Full,6,13,13,1.0,1,4348.221820864435,334.47860160495657,175,,0.04700000000048021
Full,7,16,16,1.0,1,5264.415501840157,329.0259688650098,179,,0.046999999998661224
Full,8,15,15,1.0,1,4378.624446495175,291.9082964330117,171,,0.04700000000048021
Full,9,12,12,1.0,1,4399.3629619871745,366.61358016559785,165,,0.046000000000276486
Full,10,15,15,1.0,1,4832.029098926053,322.13527326173687,178,,0.06300000000010186
Full,11,10,10,1.0,1,3845.4044466055116,384.54044466055115,159,,0.030999999999039574
Full,12,14,14,1.0,1,4914.088047342083,351.00628909586305,176,,0.06300000000010186
Full,13,16,16,1.0,1,5480.724724384148,342.5452952740093,187,,0.06199999999989814
Full,14,11,11,1.0,1,4371.680419243319,397.42549265848356,162,,0.04700000000048021
Full,15,16,16,1.0,1,5049.636744529708,315.60229653310677,174,,0.06300000000010186
Full,16,13,13,1.0,1,4713.83456910235,362.6026591617192,181,,0.046000000000276486
Full,17,15,15,1.0,1,4435.0541073732575,295.67027382488385,175,,0.0319999999992433
Full,18,16,16,1.0,1,4979.564349016981,311.22277181356134,173,,0.04700000000048021
Full,19,14,14,1.0,1,4412.099232935891,315.1499452097065,174,,0.046000000000276486
Full,20,16,16,1.0,1,4467.694983223691,279.2309364514807,167,,0.04700000000048021
Full,21,12,12,1.0,1,4317.157603939641,359.7631336616368,171,,0.046999999998661224
Full,22,15,15,1.0,1,5089.332334686446,339.2888223124298,174,,0.06300000000010186
Full,23,10,10,1.0,1,4104.031488981056,410.4031488981056,162,,0.04700000000048021
Full,24,12,12,1.0,1,4833.816555104832,402.81804625873605,164,,0.046000000000276486
Full,25,13,13,1.0,1,4392.250516996227,337.86542438432514,170,,0.04700000000048021
Full,26,16,16,1.0,1,5080.534600805711,317.53341255035696,183,,0.0319999999992433
Full,27,10,10,1.0,1,4187.030488884093,418.7030488884093,170,,0.046000000000276486
Full,28,14,14,1.0,1,5096.291646848714,364.0208319177653,176,,0.04700000000048021
Full,29,16,16,1.0,1,4998.990609267797,312.4369130792373,177,,0.0319999999992433
Full,30,10,10,1.0,1,3801.422071105155,380.14220711051547,157,,0.046000000000276486
A1-no-feasible,1,13,6,0.46153846153846156,0,3140.587439586327,523.4312399310545,146,,0.04700000000048021
A1-no-feasible,2,15,7,0.4666666666666667,0,3449.4904067167954,492.78434381668507,148,,0.06300000000010186
A1-no-feasible,3,15,4,0.26666666666666666,0,6348.579042305049,1587.1447605762623,184,,0.07799999999951979
A1-no-feasible,4,15,8,0.5333333333333333,0,3487.1891280533355,435.89864100666694,148,,0.030999999999039574
A1-no-feasible,5,14,6,0.42857142857142855,0,6634.931331292969,1105.8218885488282,186,,0.06300000000010186
A1-no-feasible,6,13,6,0.46153846153846156,0,6536.454052036328,1089.4090086727213,186,,0.04700000000048021
A1-no-feasible,7,16,6,0.375,0,3469.949772959156,578.3249621598593,147,,0.04700000000048021
A1-no-feasible,8,15,9,0.6,0,3706.1372690809194,411.79302989787993,151,,0.04700000000048021
A1-no-feasible,9,12,4,0.3333333333333333,0,3004.819572469966,751.2048931174915,144,,0.04700000000048021
A1-no-feasible,10,15,5,0.3333333333333333,0,6610.555384773007,1322.1110769546015,185,,0.046999999998661224
A1-no-feasible,11,10,4,0.4,0,3113.756810199016,778.439202549754,144,,0.031000000000858563
A1-no-feasible,12,14,4,0.2857142857142857,0,2898.146881508912,724.536720377228,144,,0.030999999999039574
A1-no-feasible,13,16,4,0.25,0,3450.7665423124345,862.6916355781086,145,,0.04700000000048021
A1-no-feasible,14,11,6,0.5454545454545454,0,3528.255381993388,588.0425636655647,151,,0.031000000000858563
A1-no-feasible,15,16,7,0.4375,0,3390.5374952954967,484.3624993279281,148,,0.046999999998661224
A1-no-feasible,16,13,2,0.15384615384615385,0,2606.443499925533,1303.2217499627666,142,,0.031000000000858563
A1-no-feasible,17,15,9,0.6,0,7067.494921364611,785.2772134849569,189,,0.06300000000010186
A1-no-feasible,18,16,8,0.5,0,3669.7888249704692,458.72360312130866,148,,0.06199999999989814
A1-no-feasible,19,14,6,0.42857142857142855,0,3228.9934101003596,538.16556835006,146,,0.04700000000048021
A1-no-feasible,20,16,10,0.625,0,3523.585098809842,352.3585098809842,150,,0.046999999998661224
A1-no-feasible,21,12,2,0.16666666666666666,0,6250.248584452423,3125.1242922262113,182,,0.07799999999951979
A1-no-feasible,22,15,6,0.4,0,4870.582328670836,811.7637214451394,163,,0.04700000000048021
A1-no-feasible,23,10,3,0.3,0,2793.3664175986064,931.1221391995355,143,,0.046999999998661224
A1-no-feasible,24,12,6,0.5,0,3193.565952153084,532.2609920255139,146,,0.04700000000048021
A1-no-feasible,25,13,7,0.5384615384615384,0,3872.106780620271,553.1581115171815,148,,0.031000000000858563
A1-no-feasible,26,16,6,0.375,0,7001.445631062669,1166.9076051771115,186,,0.06199999999989814
A1-no-feasible,27,10,5,0.5,0,6701.401610745514,1340.2803221491026,185,,0.046999999998661224
A1-no-feasible,28,14,4,0.2857142857142857,0,2808.7417487355824,702.1854371838956,144,,0.031000000000858563
A1-no-feasible,29,16,7,0.4375,0,6726.332383729526,960.904626247075,187,,0.06300000000010186
A1-no-feasible,30,10,6,0.6,0,3270.9775339152725,545.162922319212,146,,0.030999999999039574
A2-no-mec,1,13,13,1.0,1,6577.5856912282115,505.96813009447783,213,,0.04700000000048021
A2-no-mec,2,15,15,1.0,1,6412.271268218926,427.48475121459506,233,,0.04700000000048021
A2-no-mec,3,15,15,1.0,1,5038.694947701331,335.9129965134221,208,,0.030999999999039574
A2-no-mec,4,15,15,1.0,1,7049.009480587916,469.9339653725277,241,,0.04700000000048021
A2-no-mec,5,14,14,1.0,1,6221.0946299497145,444.36390213926535,227,,0.04700000000048021
A2-no-mec,6,13,13,1.0,1,4712.635563853152,362.510427988704,215,,0.04700000000048021
A2-no-mec,7,16,16,1.0,1,5557.636030952771,347.3522519345482,225,,0.046999999998661224
A2-no-mec,8,15,15,1.0,1,5436.889520669264,362.45930137795096,216,,0.06199999999989814
A2-no-mec,9,12,12,1.0,1,5752.684927684523,479.39041064037696,214,,0.04700000000048021
A2-no-mec,10,15,15,1.0,1,5088.406133132202,339.2270755421468,214,,0.04700000000048021
A2-no-mec,11,10,10,1.0,1,3833.76486210126,383.376486210126,180,,0.030999999999039574
A2-no-mec,12,14,14,1.0,1,5694.220606530125,406.7300433235804,221,,0.031000000000858563
A2-no-mec,13,16,16,1.0,1,6225.709834845198,389.1068646778249,243,,0.07899999999972351
A2-no-mec,14,11,11,1.0,1,5781.112101163217,525.5556455602924,211,,0.031000000000858563
A2-no-mec,15,16,16,1.0,1,6216.261050978747,388.5163156861717,232,,0.046999999998661224
