strategy,seed,error,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,n_actions,wall_s,certified
Ours,1,,13,13,1.0,9160.71541035814,704.6704161813954,538,0.31300000000010186,1
Ours,2,,15,15,1.0,9229.209704133616,615.2806469422411,537,0.031000000000858563,1
Ours,3,,15,15,1.0,9028.826045977044,601.9217363984696,540,0.04700000000048021,1
Ours,4,,15,15,1.0,9168.960414111833,611.2640276074555,529,0.030999999999039574,1
Ours,5,,14,14,1.0,9193.408752148298,656.6720537248784,537,0.031000000000858563,1
Ours,6,,13,13,1.0,8558.430951338747,658.3408424106728,520,0.0319999999992433,1
Ours,7,,16,16,1.0,8688.459182878842,543.0286989299276,542,0.046000000000276486,1
Ours,8,,15,15,1.0,8768.435817722675,584.5623878481783,528,0.0319999999992433,1
Ours,9,,12,12,1.0,8395.290430897408,699.6075359081174,522,0.031000000000858563,1
Ours,10,,15,15,1.0,9138.596531804784,609.2397687869856,532,0.030999999999039574,1
Ours,11,,10,10,1.0,8412.683422140664,841.2683422140665,518,0.031000000000858563,1
Ours,12,,14,14,1.0,9078.268639922017,648.4477599944297,520,0.0319999999992433,1
Ours,13,,16,16,1.0,9274.921976183505,579.682623511469,540,0.031000000000858563,1
Ours,14,,11,11,1.0,8205.247197257064,745.9315633870058,522,0.030999999999039574,1
Ours,15,,16,16,1.0,8766.859681686547,547.9287301054092,521,0.04700000000048021,1
Ours,16,,13,13,1.0,9053.208904929767,696.4006849945974,527,0.031000000000858563,1
Ours,17,,15,15,1.0,8640.054331393185,576.003622092879,522,0.0319999999992433,1
Ours,18,,16,16,1.0,9602.82117411594,600.1763233822462,547,0.046000000000276486,1
Ours,19,,14,14,1.0,8761.102429778346,625.7930306984533,520,0.0319999999992433,1
Ours,20,,16,16,1.0,8612.333779430337,538.2708612143961,523,0.031000000000858563,1
Ours,21,,12,12,1.0,9096.189815024674,758.0158179187229,523,0.030999999999039574,1
Ours,22,,15,15,1.0,8355.723779246198,557.0482519497466,530,0.04700000000048021,1
Ours,23,,10,10,1.0,7993.003251332657,799.3003251332657,521,0.01599999999962165,1
Ours,24,,12,12,1.0,8576.713492958883,714.7261244132402,523,0.031000000000858563,1
Ours,25,,13,13,1.0,8498.394655482965,653.722665806382,522,0.030999999999039574,1
Ours,26,,16,16,1.0,8889.297511601932,555.5810944751207,535,0.04700000000048021,1
Ours,27,,10,10,1.0,8005.630686194529,800.5630686194529,517,0.031000000000858563,1
Ours,28,,14,14,1.0,8781.313749557206,627.2366963969433,537,0.046999999998661224,1
Ours,29,,16,16,1.0,9077.030223674583,567.3143889796614,539,0.031000000000858563,1
Ours,30,,10,10,1.0,8609.017078376295,860.9017078376295,535,0.0319999999992433,1
HomingOnly,1,,13,3,0.23076923076923078,58703.102334527444,19567.700778175815,3000,0.07800000000133878,0
HomingOnly,2,,15,1,0.06666666666666667,53505.74210499883,53505.74210499883,2999,0.07799999999951979,0
HomingOnly,3,,15,5,0.3333333333333333,60003.75628304893,12000.751256609787,2805,0.09399999999914144,0
HomingOnly,4,,15,2,0.13333333333333333,56585.12944177591,28292.564720887956,3000,0.09399999999914144,0
HomingOnly,5,,14,3,0.21428571428571427,50772.08908829271,16924.029696097572,3000,0.07799999999951979,0
HomingOnly,6,,13,1,0.07692307692307693,38334.7802117163,38334.7802117163,2999,0.07800000000133878,0
HomingOnly,7,,16,1,0.0625,60079.36906734034,60079.36906734034,1624,0.125,0
HomingOnly,8,,15,1,0.06666666666666667,53822.54117432554,53822.54117432554,3000,0.06300000000010186,0
HomingOnly,9,,12,2,0.16666666666666666,60016.725805570735,30008.362902785368,2591,0.07899999999972351,0
HomingOnly,10,,15,1,0.06666666666666667,49984.29461332872,49984.29461332872,3000,0.0930000000007567,0
HomingOnly,11,,10,1,0.1,47802.97206177739,47802.97206177739,3000,0.07799999999951979,0
HomingOnly,12,,14,2,0.14285714285714285,41306.52864856795,20653.264324283977,3000,0.07899999999972351,0
HomingOnly,13,,16,1,0.0625,60077.3043313836,60077.3043313836,2762,0.06300000000010186,0
HomingOnly,14,,11,3,0.2727272727272727,41340.92873189871,13780.309577299571,3000,0.07800000000133878,0
HomingOnly,15,,16,1,0.0625,60003.61469854845,60003.61469854845,2270,0.04700000000048021,0
HomingOnly,16,,13,0,0.0,52324.20615639437,nan,3000,0.07799999999951979,0
HomingOnly,17,,15,1,0.06666666666666667,46874.71000005261,46874.71000005261,3000,0.07899999999972351,0
HomingOnly,18,,16,0,0.0,51671.005149405995,nan,3000,0.06199999999989814,0
HomingOnly,19,,14,0,0.0,56241.86143609568,nan,3000,0.10900000000037835,0
HomingOnly,20,,16,1,0.0625,60032.77875294728,60032.77875294728,1634,0.09400000000096043,0
HomingOnly,21,,12,0,0.0,57315.33608574493,nan,3000,0.125,0
HomingOnly,22,,15,4,0.26666666666666666,39751.23916097753,9937.809790244382,3000,0.07799999999951979,0
HomingOnly,23,,10,0,0.0,47712.952507157315,nan,3000,0.09399999999914144,0
HomingOnly,24,,12,1,0.08333333333333333,45638.92424503672,45638.92424503672,3000,0.10900000000037835,0
HomingOnly,25,,13,2,0.15384615384615385,55118.267417781564,27559.133708890782,3000,0.09400000000096043,0
HomingOnly,26,,16,3,0.1875,40411.3381646935,13470.446054897833,3000,0.07799999999951979,0
HomingOnly,27,,10,0,0.0,57381.74815021891,nan,3000,0.09399999999914144,0
HomingOnly,28,,14,2,0.14285714285714285,45791.955518445146,22895.977759222573,3000,0.1720000000004802,0
HomingOnly,29,,16,4,0.25,46084.713970709745,11521.178492677436,3000,0.1710000000002765,0
HomingOnly,30,,10,0,0.0,37294.71703295036,nan,3000,0.07899999999972351,0
Lawnmower,1,,13,2,0.15384615384615385,20481.628825939017,10240.814412969508,751,0.10900000000037835,0
Lawnmower,2,,15,4,0.26666666666666666,37574.23988853135,9393.559972132838,569,0.04700000000048021,0
Lawnmower,3,,15,3,0.2,48757.25410168253,16252.418033894175,645,0.046999999998661224,0
Lawnmower,4,,15,3,0.2,25534.423834379268,8511.474611459756,587,0.0930000000007567,0
Lawnmower,5,,14,2,0.14285714285714285,25626.0067223993,12813.00336119965,463,0.0319999999992433,0
Lawnmower,6,,13,3,0.23076923076923078,30810.343166700706,10270.114388900236,506,0.06199999999989814,0
Lawnmower,7,,16,5,0.3125,38250.70901911735,7650.14180382347,586,0.06300000000010186,0
Lawnmower,8,,15,4,0.26666666666666666,17793.876142725476,4448.469035681369,606,0.07800000000133878,0
Lawnmower,9,,12,2,0.16666666666666666,22843.31612398039,11421.658061990194,487,0.06199999999989814,0
Lawnmower,10,,15,3,0.2,26400.329777650684,8800.109925883562,640,0.06300000000010186,0
Lawnmower,11,,10,2,0.2,32670.453454107905,16335.226727053952,458,0.030999999999039574,0
Lawnmower,12,,14,3,0.21428571428571427,35364.488784247325,11788.162928082442,701,0.10900000000037835,0
Lawnmower,13,,16,3,0.1875,45943.5467247906,15314.5155749302,706,0.07899999999972351,0
Lawnmower,14,,11,4,0.36363636363636365,9112.88093273583,2278.2202331839576,472,0.06199999999989814,0
Lawnmower,15,,16,3,0.1875,32049.403730161088,10683.134576720362,597,0.04700000000048021,0
Lawnmower,16,,13,4,0.3076923076923077,23698.362146732292,5924.590536683073,465,0.046000000000276486,0
Lawnmower,17,,15,6,0.4,21288.648669192793,3548.108111532132,592,0.06300000000010186,0
Lawnmower,18,,16,1,0.0625,39107.39073202106,39107.39073202106,574,0.04700000000048021,0
Lawnmower,19,,14,6,0.42857142857142855,12585.318233491587,2097.5530389152646,666,0.09399999999914144,0
Lawnmower,20,,16,1,0.0625,35896.70317844297,35896.70317844297,671,0.06199999999989814,0
Lawnmower,21,,12,2,0.16666666666666666,24642.65317644311,12321.326588221555,461,0.04700000000048021,0
Lawnmower,22,,15,4,0.26666666666666666,10371.560949077884,2592.890237269471,516,0.06199999999989814,0
Lawnmower,23,,10,2,0.2,14393.92711509837,7196.963557549185,415,0.04700000000048021,0
Lawnmower,24,,12,3,0.25,23225.913642114945,7741.971214038315,521,0.04700000000048021,0
Lawnmower,25,,13,3,0.23076923076923078,9292.56687119468,3097.5222903982267,515,0.06199999999989814,0
Lawnmower,26,,16,4,0.25,25449.89289934486,6362.473224836215,558,0.06300000000010186,0
Lawnmower,27,,10,3,0.3,25412.329168708246,8470.776389569415,577,0.09399999999914144,0
Lawnmower,28,,14,1,0.07142857142857142,18943.96956045385,18943.96956045385,562,0.07799999999951979,0
Lawnmower,29,,16,2,0.125,48190.50057695642,24095.25028847821,695,0.04700000000048021,0
Lawnmower,30,,10,4,0.4,6103.635979259139,1525.9089948147848,349,0.031000000000858563,0
RandomWaypoints,1,,13,2,0.15384615384615385,61558.07032962247,30779.035164811234,842,0.09399999999914144,0
RandomWaypoints,2,,15,4,0.26666666666666666,60008.25493646202,15002.063734115505,840,0.0930000000007567,0
RandomWaypoints,3,,15,5,0.3333333333333333,60077.89660586688,12015.579321173376,957,0.07799999999951979,0
RandomWaypoints,4,,15,2,0.13333333333333333,60060.45941879696,30030.22970939848,763,0.06300000000010186,0
RandomWaypoints,5,,14,4,0.2857142857142857,60047.95872240402,15011.989680601006,897,0.09399999999914144,0
RandomWaypoints,6,,13,8,0.6153846153846154,39584.367134338725,4948.045891792341,747,0.031000000000858563,0
RandomWaypoints,7,,16,2,0.125,63173.62229097502,31586.81114548751,760,0.07799999999951979,0
RandomWaypoints,8,,15,3,0.2,60044.58901828892,20014.863006096308,768,0.04700000000048021,0
RandomWaypoints,9,,12,8,0.6666666666666666,37941.54622768908,4742.693278461135,838,0.07799999999951979,0
RandomWaypoints,10,,15,2,0.13333333333333333,62804.29557907902,31402.14778953951,834,0.06199999999989814,0
RandomWaypoints,11,,10,6,0.6,29177.28629835406,4862.881049725677,787,0.07800000000133878,0
RandomWaypoints,12,,14,2,0.14285714285714285,60003.6943283221,30001.84716416105,768,0.06300000000010186,0
RandomWaypoints,13,,16,2,0.125,60373.12619954718,30186.56309977359,623,0.046999999998661224,0
RandomWaypoints,14,,11,3,0.2727272727272727,42148.56831818543,14049.522772728478,991,0.10900000000037835,0
RandomWaypoints,15,,16,0,0.0,61080.96343943814,nan,504,0.04700000000048021,0
RandomWaypoints,16,,13,1,0.07692307692307693,60300.31231138257,60300.31231138257,653,0.06199999999989814,0
RandomWaypoints,17,,15,1,0.06666666666666667,60000.259168686294,60000.259168686294,679,0.07899999999972351,0
RandomWaypoints,18,,16,3,0.1875,60300.68233087692,20100.22744362564,877,0.10900000000037835,0
RandomWaypoints,19,,14,8,0.5714285714285714,45079.692746009954,5634.961593251244,830,0.07799999999951979,0
RandomWaypoints,20,,16,5,0.3125,60056.353250658634,12011.270650131726,905,0.09400000000096043,0
RandomWaypoints,21,,12,0,0.0,55763.2427817568,nan,938,0.07799999999951979,0
RandomWaypoints,22,,15,6,0.4,60028.34850965731,10004.724751609552,899,0.06199999999989814,0
RandomWaypoints,23,,10,5,0.5,35244.53014101687,7048.906028203373,791,0.06300000000010186,0
RandomWaypoints,24,,12,4,0.3333333333333333,42861.8023570695,10715.450589267375,927,0.07799999999951979,0
RandomWaypoints,25,,13,2,0.15384615384615385,60176.82808184003,30088.414040920015,908,0.10900000000037835,0
RandomWaypoints,26,,16,3,0.1875,61609.57958654398,20536.526528847993,687,0.06300000000010186,0
RandomWaypoints,27,,10,4,0.4,46181.45323459652,11545.36330864913,838,0.06199999999989814,0
RandomWaypoints,28,,14,2,0.14285714285714285,52913.536359657526,26456.768179828763,1021,0.125,0
RandomWaypoints,29,,16,1,0.0625,60131.50402775,60131.50402775,840,0.07899999999972351,0
RandomWaypoints,30,,10,2,0.2,55402.984392441904,27701.492196220952,941,0.07799999999951979,0
