dim,value,clear_ratio,certified,avg_time,avg_time_std,total_time,n_sources_mean
k,10,1.0,1.0,835.1178752905595,15.316350916494294,8351.178752905596,10.0
k,12,1.0,1.0,703.2784077239386,13.022854671292958,8439.340892687262,12.0
k,14,1.0,1.0,617.2297938394815,19.520434366288708,8641.217113752742,14.0
k,16,1.0,1.0,554.6655704947076,19.52060856848127,8874.649127915322,16.0
rc,fixed 1000 (最坏),1.0,1.0,617.5353891207167,72.36603566620354,8653.062174783081,14.2
rc,fixed 1500 (最好),1.0,1.0,616.6033457465887,71.82695174500637,8640.529771236037,14.2
rc,"uniform[1000,1500]",1.0,1.0,616.6829123511959,71.84753164108822,8641.633819070099,14.2
dir,0.0,1.0,1.0,616.6829123511959,71.84753164108822,8641.633819070099,14.2
dir,0.25,1.0,1.0,624.2765048479506,73.91264472713667,8743.39423787126,14.2
dir,0.5,1.0,1.0,629.8453231458838,74.53234889451527,8821.98801285414,14.2
dir,0.75,1.0,1.0,632.0211716935723,70.17962542573656,8864.40454076235,14.2
dir,1.0,1.0,1.0,634.2245828166637,73.25385046920869,8886.891738910437,14.2
delta,0.25,1.0,1.0,616.5002034790466,71.49492254697783,8639.57516566672,14.2
delta,0.5,1.0,1.0,616.5117022156168,71.50949934089232,8639.715655116821,14.2
delta,1.0,1.0,1.0,616.6829123511959,71.84753164108822,8641.633819070099,14.2
delta,2.0,1.0,1.0,624.7529074624096,72.27410664894234,8755.02673478911,14.2
cell,10.0,1.0,1.0,616.6829123511959,71.84753164108822,8641.633819070099,14.2
cell,15.0,1.0,1.0,616.8465073489176,71.63527208894018,8644.296769453413,14.2
cell,20.0,1.0,1.0,617.4660864689794,72.1669868134756,8652.081267193898,14.2
cell,5.0,1.0,1.0,616.5384541469691,71.53665756068146,8640.051264445705,14.2
