seed,k,oracle_tour_m,oracle_time_s,ours_time_s,ours_cleared,ratio,tsp_bound_s
1,13,10164.949481418796,2097.989896283759,9160.71541035814,13,4.36642494159997,2097.989896283759
2,15,9909.19710996824,2056.839421993648,9229.209704133616,15,4.4870832430797885,2056.839421993648
3,15,10300.210326483228,2135.0420652966454,9028.826045977044,15,4.228875015032815,2135.0420652966454
4,15,11016.823787069225,2278.364757413845,9168.960414111833,15,4.02436018388884,2278.364757413845
5,14,10778.713932110904,2225.742786422181,9193.408752148298,14,4.130490193310452,2225.742786422181
6,13,9778.511789271055,2020.702357854211,8558.430951338747,13,4.235374357867809,2020.702357854211
7,16,9628.110252131817,2005.6220504263633,8688.459182878842,16,4.332052083807023,2005.6220504263633
8,15,10200.310939361634,2115.062187872327,8768.435817722675,15,4.14571064056674,2115.062187872327
9,12,7523.776519855362,1564.7553039710724,8395.290430897408,12,5.365241715168912,1564.7553039710724
10,15,10232.21866056126,2121.4437321122523,9138.596531804784,15,4.307725155974691,2121.4437321122523
11,10,7160.090942838762,1482.0181885677525,8412.683422140664,10,5.6765048411928225,1482.0181885677525
12,14,10189.935373898097,2107.9870747796194,9078.268639922017,14,4.306605457185315,2107.9870747796194
13,16,10510.519005008438,2182.1038010016878,9274.921976183505,16,4.250449484541424,2182.1038010016878
14,11,7767.780756658886,1608.5561513317773,8205.247197257064,11,5.10100141077678,1608.5561513317773
15,16,8935.93702367991,1867.187404735982,8766.859681686547,16,4.695222161123227,1867.187404735982
16,13,10193.453149002871,2103.6906298005742,9053.208904929767,13,4.303488724379589,2103.6906298005742
17,15,8438.776967240683,1762.7553934481366,8640.054331393185,15,4.901448246028237,1762.7553934481366
18,16,10280.195581996488,2136.0391163992977,9602.82117411594,16,4.495620468928177,2136.0391163992977
19,14,9283.741515929814,1926.7483031859629,8761.102429778346,14,4.547092329232354,1926.7483031859629
20,16,9289.80460568875,1937.9609211377501,8612.333779430337,16,4.44401829030389,1937.9609211377501
21,12,9744.041137359949,2008.8082274719898,9096.189815024674,12,4.528152409287914,2008.8082274719898
22,15,9214.235630343866,1917.8471260687734,8355.723779246198,15,4.356824725844476,1917.8471260687734
23,10,7078.471105714779,1465.6942211429557,7993.003251332657,10,5.4533907113993205,1465.6942211429557
24,12,8815.918916288607,1823.1837832577214,8576.713492958883,12,4.704250647531399,1823.1837832577214
25,13,10224.723457598535,2109.944691519707,8498.394655482965,13,4.027780770576465,2109.944691519707
26,16,10437.746030764047,2167.5492061528093,8889.297511601932,16,4.101082220587544,2167.5492061528093
27,10,7726.217204508386,1595.2434409016773,8005.630686194529,10,5.018438240165724,1595.2434409016773
28,14,8850.899331962946,1840.1798663925892,8781.313749557206,14,4.771986646485662,1840.1798663925892
29,16,10068.014463187781,2093.602892637556,9077.030223674583,16,4.3356026377281065,2093.602892637556
30,10,6874.983270772155,1424.996654154431,8609.017078376295,10,6.041429678643519,1424.996654154431
31,13,9012.173366335808,1867.4346732671615,9049.74330325935,13,4.846082935488401,1867.4346732671615
32,16,10716.073572594549,2223.2147145189097,9229.673110083142,16,4.15149875079897,2223.2147145189097
33,16,10663.965582784063,2212.7931165568125,8898.03946287608,16,4.021180017371781,2212.7931165568125
34,10,7435.63175972383,1537.1263519447662,8714.961166657142,10,5.6696452803837545,1537.1263519447662
35,10,7408.812514226596,1531.7625028453192,8018.05664871383,10,5.234529918195491,1531.7625028453192
36,12,8603.300666414701,1780.6601332829403,8629.74165244376,12,4.846372135334669,1780.6601332829403
37,11,6478.026166163053,1350.6052332326105,9343.625025676734,11,6.918102192831879,1350.6052332326105
38,11,8257.933631677883,1706.5867263355765,8340.154968616196,11,4.887038460989542,1706.5867263355765
39,16,11012.065666444405,2282.413133288881,9141.55289614095,16,4.005213939059437,2282.413133288881
40,13,7832.901054476792,1631.5802108953583,8280.279035319278,13,5.075005801140067,1631.5802108953583
