p_outlier,q,n,full_clear,false_empty,certified,virtual_time_mean,n_outlier
0.0,0,12,1.0,0,1.0,9043.922881761328,0
0.0,2,12,0.9166666666666666,0,0.9166666666666666,15722.56667072515,0
0.0,4,12,0.75,0,0.75,33808.64079935956,0
0.02,0,12,0.0,79,0.0,9114.899887967129,145
0.02,2,12,0.16666666666666666,0,0.0,23253.962304596513,233
0.02,4,12,0.8333333333333334,0,0.0,44981.57473290807,279
0.05,0,12,0.0,115,0.0,8381.351886566144,225
0.05,2,12,0.0,0,0.0,21501.00446733613,438
0.05,4,12,0.4166666666666667,0,0.0,41434.32827203744,564
0.1,0,12,0.0,158,0.0,5937.871140022606,344
0.1,2,12,0.0,0,0.0,16712.611724829312,726
0.1,4,12,0.25,0,0.0,34438.50399399957,950
