gamma_deg,r_m,diam_m,diam_over_r
10.0,200.0,83.4307,0.41715
10.0,250.0,104.2884,0.41715
10.0,300.0,125.1461,0.41715
10.0,350.0,146.0038,0.41715
10.0,400.0,166.8615,0.41715
10.0,450.0,187.7192,0.41715
10.0,500.0,208.5768,0.41715
10.0,550.0,229.4345,0.41715
10.0,600.0,250.2922,0.41715
10.0,650.0,271.1499,0.41715
10.0,700.0,292.0076,0.41715
10.0,750.0,312.8653,0.41715
10.0,800.0,333.7230,0.41715
10.0,850.0,354.5806,0.41715
10.0,900.0,375.4383,0.41715
10.0,950.0,396.2960,0.41715
10.0,1000.0,417.1537,0.41715
10.0,1050.0,438.0114,0.41715
10.0,1100.0,458.8691,0.41715
10.0,1150.0,479.7267,0.41715
10.0,1200.0,500.5844,0.41715
10.0,1250.0,521.4421,0.41715
10.0,1300.0,542.2998,0.41715
10.0,1350.0,563.1575,0.41715
10.0,1400.0,584.0152,0.41715
10.0,1450.0,604.8728,0.41715
10.0,1500.0,625.7305,0.41715
12.5,200.0,65.8052,0.32903
12.5,250.0,82.2565,0.32903
12.5,300.0,98.7078,0.32903
12.5,350.0,115.1591,0.32903
12.5,400.0,131.6104,0.32903
12.5,450.0,148.0617,0.32903
12.5,500.0,164.5130,0.32903
12.5,550.0,180.9643,0.32903
12.5,600.0,197.4157,0.32903
12.5,650.0,213.8670,0.32903
12.5,700.0,230.3183,0.32903
12.5,750.0,246.7696,0.32903
12.5,800.0,263.2209,0.32903
12.5,850.0,279.6722,0.32903
12.5,900.0,296.1235,0.32903
12.5,950.0,312.5748,0.32903
12.5,1000.0,329.0261,0.32903
12.5,1050.0,345.4774,0.32903
12.5,1100.0,361.9287,0.32903
12.5,1150.0,378.3800,0.32903
12.5,1200.0,394.8313,0.32903
12.5,1250.0,411.2826,0.32903
12.5,1300.0,427.7339,0.32903
12.5,1350.0,444.1852,0.32903
12.5,1400.0,460.6365,0.32903
12.5,1450.0,477.0878,0.32903
12.5,1500.0,493.5391,0.32903
15.0,200.0,54.4485,0.27224
15.0,250.0,68.0606,0.27224
15.0,300.0,81.6728,0.27224
15.0,350.0,95.2849,0.27224
15.0,400.0,108.8970,0.27224
15.0,450.0,122.5091,0.27224
15.0,500.0,136.1213,0.27224
15.0,550.0,149.7334,0.27224
15.0,600.0,163.3455,0.27224
15.0,650.0,176.9577,0.27224
15.0,700.0,190.5698,0.27224
15.0,750.0,204.1819,0.27224
15.0,800.0,217.7940,0.27224
15.0,850.0,231.4062,0.27224
15.0,900.0,245.0183,0.27224
15.0,950.0,258.6304,0.27224
15.0,1000.0,272.2425,0.27224
15.0,1050.0,285.8547,0.27224
15.0,1100.0,299.4668,0.27224
15.0,1150.0,313.0789,0.27224
15.0,1200.0,326.6910,0.27224
15.0,1250.0,340.3032,0.27224
15.0,1300.0,353.9153,0.27224
15.0,1350.0,367.5274,0.27224
15.0,1400.0,381.1396,0.27224
15.0,1450.0,394.7517,0.27224
15.0,1500.0,408.3638,0.27224
17.5,200.0,46.4951,0.23248
17.5,250.0,58.1189,0.23248
17.5,300.0,69.7427,0.23248
17.5,350.0,81.3664,0.23248
17.5,400.0,92.9902,0.23248
17.5,450.0,104.6140,0.23248
17.5,500.0,116.2378,0.23248
17.5,550.0,127.8615,0.23248
17.5,600.0,139.4853,0.23248
17.5,650.0,151.1091,0.23248
17.5,700.0,162.7329,0.23248
17.5,750.0,174.3567,0.23248
17.5,800.0,185.9804,0.23248
17.5,850.0,197.6042,0.23248
17.5,900.0,209.2280,0.23248
17.5,950.0,220.8518,0.23248
17.5,1000.0,232.4755,0.23248
17.5,1050.0,244.0993,0.23248
17.5,1100.0,255.7231,0.23248
17.5,1150.0,267.3469,0.23248
17.5,1200.0,278.9707,0.23248
17.5,1250.0,290.5944,0.23248
17.5,1300.0,302.2182,0.23248
17.5,1350.0,313.8420,0.23248
17.5,1400.0,325.4658,0.23248
17.5,1450.0,337.0895,0.23248
17.5,1500.0,348.7133,0.23248
20.0,200.0,40.6058,0.20303
20.0,250.0,50.7573,0.20303
20.0,300.0,60.9087,0.20303
20.0,350.0,71.0602,0.20303
20.0,400.0,81.2116,0.20303
20.0,450.0,91.3631,0.20303
20.0,500.0,101.5145,0.20303
20.0,550.0,111.6660,0.20303
20.0,600.0,121.8174,0.20303
20.0,650.0,131.9689,0.20303
20.0,700.0,142.1203,0.20303
20.0,750.0,152.2718,0.20303
20.0,800.0,162.4232,0.20303
20.0,850.0,172.5747,0.20303
20.0,900.0,182.7261,0.20303
20.0,950.0,192.8776,0.20303
20.0,1000.0,203.0290,0.20303
20.0,1050.0,213.1805,0.20303
20.0,1100.0,223.3319,0.20303
20.0,1150.0,233.4834,0.20303
20.0,1200.0,243.6348,0.20303
20.0,1250.0,253.7863,0.20303
20.0,1300.0,263.9377,0.20303
20.0,1350.0,274.0892,0.20303
20.0,1400.0,284.2406,0.20303
20.0,1450.0,294.3921,0.20303
20.0,1500.0,304.5435,0.20303
22.5,200.0,36.0664,0.18033
22.5,250.0,45.0830,0.18033
22.5,300.0,54.0996,0.18033
22.5,350.0,63.1162,0.18033
22.5,400.0,72.1328,0.18033
22.5,450.0,81.1494,0.18033
22.5,500.0,90.1660,0.18033
22.5,550.0,99.1826,0.18033
22.5,600.0,108.1992,0.18033
22.5,650.0,117.2158,0.18033
22.5,700.0,126.2324,0.18033
22.5,750.0,135.2491,0.18033
22.5,800.0,144.2657,0.18033
22.5,850.0,153.2823,0.18033
22.5,900.0,162.2989,0.18033
22.5,950.0,171.3155,0.18033
22.5,1000.0,180.3321,0.18033
22.5,1050.0,189.3487,0.18033
22.5,1100.0,198.3653,0.18033
22.5,1150.0,207.3819,0.18033
22.5,1200.0,216.3985,0.18033
22.5,1250.0,225.4151,0.18033
22.5,1300.0,234.4317,0.18033
22.5,1350.0,243.4483,0.18033
22.5,1400.0,252.4649,0.18033
22.5,1450.0,261.4815,0.18033
22.5,1500.0,270.4981,0.18033
25.0,200.0,32.4598,0.16230
25.0,250.0,40.5747,0.16230
25.0,300.0,48.6896,0.16230
25.0,350.0,56.8046,0.16230
25.0,400.0,64.9195,0.16230
25.0,450.0,73.0345,0.16230
25.0,500.0,81.1494,0.16230
25.0,550.0,89.2643,0.16230
25.0,600.0,97.3793,0.16230
25.0,650.0,105.4942,0.16230
25.0,700.0,113.6092,0.16230
25.0,750.0,121.7241,0.16230
25.0,800.0,129.8391,0.16230
25.0,850.0,137.9540,0.16230
25.0,900.0,146.0689,0.16230
25.0,950.0,154.1839,0.16230
25.0,1000.0,162.2988,0.16230
25.0,1050.0,170.4138,0.16230
25.0,1100.0,178.5287,0.16230
25.0,1150.0,186.6436,0.16230
25.0,1200.0,194.7586,0.16230
25.0,1250.0,202.8735,0.16230
25.0,1300.0,210.9885,0.16230
25.0,1350.0,219.1034,0.16230
25.0,1400.0,227.2183,0.16230
25.0,1450.0,235.3333,0.16230
25.0,1500.0,243.4482,0.16230
27.5,200.0,29.5252,0.14763
27.5,250.0,36.9066,0.14763
27.5,300.0,44.2879,0.14763
27.5,350.0,51.6692,0.14763
27.5,400.0,59.0505,0.14763
27.5,450.0,66.4318,0.14763
27.5,500.0,73.8131,0.14763
27.5,550.0,81.1944,0.14763
27.5,600.0,88.5757,0.14763
27.5,650.0,95.9571,0.14763
27.5,700.0,103.3384,0.14763
27.5,750.0,110.7197,0.14763
27.5,800.0,118.1010,0.14763
27.5,850.0,125.4823,0.14763
27.5,900.0,132.8636,0.14763
27.5,950.0,140.2449,0.14763
27.5,1000.0,147.6262,0.14763
27.5,1050.0,155.0076,0.14763
27.5,1100.0,162.3889,0.14763
27.5,1150.0,169.7702,0.14763
27.5,1200.0,177.1515,0.14763
27.5,1250.0,184.5328,0.14763
27.5,1300.0,191.9141,0.14763
27.5,1350.0,199.2954,0.14763
27.5,1400.0,206.6767,0.14763
27.5,1450.0,214.0580,0.14763
27.5,1500.0,221.4394,0.14763
30.0,200.0,27.0914,0.13546
30.0,250.0,33.8643,0.13546
30.0,300.0,40.6372,0.13546
30.0,350.0,47.4100,0.13546
30.0,400.0,54.1829,0.13546
30.0,450.0,60.9557,0.13546
30.0,500.0,67.7286,0.13546
30.0,550.0,74.5015,0.13546
30.0,600.0,81.2743,0.13546
30.0,650.0,88.0472,0.13546
30.0,700.0,94.8201,0.13546
30.0,750.0,101.5929,0.13546
30.0,800.0,108.3658,0.13546
30.0,850.0,115.1386,0.13546
30.0,900.0,121.9115,0.13546
30.0,950.0,128.6844,0.13546
30.0,1000.0,135.4572,0.13546
30.0,1050.0,142.2301,0.13546
30.0,1100.0,149.0029,0.13546
30.0,1150.0,155.7758,0.13546
30.0,1200.0,162.5487,0.13546
30.0,1250.0,169.3215,0.13546
30.0,1300.0,176.0944,0.13546
30.0,1350.0,182.8672,0.13546
30.0,1400.0,189.6401,0.13546
30.0,1450.0,196.4130,0.13546
30.0,1500.0,203.1858,0.13546
32.5,200.0,25.0408,0.12520
32.5,250.0,31.3011,0.12520
32.5,300.0,37.5613,0.12520
32.5,350.0,43.8215,0.12520
32.5,400.0,50.0817,0.12520
32.5,450.0,56.3419,0.12520
32.5,500.0,62.6021,0.12520
32.5,550.0,68.8623,0.12520
32.5,600.0,75.1225,0.12520
32.5,650.0,81.3828,0.12520
32.5,700.0,87.6430,0.12520
32.5,750.0,93.9032,0.12520
32.5,800.0,100.1634,0.12520
32.5,850.0,106.4236,0.12520
32.5,900.0,112.6838,0.12520
32.5,950.0,118.9440,0.12520
32.5,1000.0,125.2042,0.12520
32.5,1050.0,131.4644,0.12520
32.5,1100.0,137.7247,0.12520
32.5,1150.0,143.9849,0.12520
32.5,1200.0,150.2451,0.12520
32.5,1250.0,156.5053,0.12520
32.5,1300.0,162.7655,0.12520
32.5,1350.0,169.0257,0.12520
32.5,1400.0,175.2859,0.12520
32.5,1450.0,181.5461,0.12520
32.5,1500.0,187.8064,0.12520
35.0,200.0,23.2902,0.11645
35.0,250.0,29.1127,0.11645
35.0,300.0,34.9353,0.11645
35.0,350.0,40.7578,0.11645
35.0,400.0,46.5803,0.11645
35.0,450.0,52.4029,0.11645
35.0,500.0,58.2254,0.11645
35.0,550.0,64.0480,0.11645
35.0,600.0,69.8705,0.11645
35.0,650.0,75.6931,0.11645
35.0,700.0,81.5156,0.11645
35.0,750.0,87.3381,0.11645
35.0,800.0,93.1607,0.11645
35.0,850.0,98.9832,0.11645
35.0,900.0,104.8058,0.11645
35.0,950.0,110.6283,0.11645
35.0,1000.0,116.4509,0.11645
35.0,1050.0,122.2734,0.11645
35.0,1100.0,128.0960,0.11645
35.0,1150.0,133.9185,0.11645
35.0,1200.0,139.7410,0.11645
35.0,1250.0,145.5636,0.11645
35.0,1300.0,151.3861,0.11645
35.0,1350.0,157.2087,0.11645
35.0,1400.0,163.0312,0.11645
35.0,1450.0,168.8538,0.11645
35.0,1500.0,174.6763,0.11645
37.5,200.0,21.7787,0.10889
37.5,250.0,27.2234,0.10889
37.5,300.0,32.6681,0.10889
37.5,350.0,38.1127,0.10889
37.5,400.0,43.5574,0.10889
37.5,450.0,49.0021,0.10889
37.5,500.0,54.4468,0.10889
37.5,550.0,59.8914,0.10889
37.5,600.0,65.3361,0.10889
37.5,650.0,70.7808,0.10889
37.5,700.0,76.2255,0.10889
37.5,750.0,81.6702,0.10889
37.5,800.0,87.1148,0.10889
37.5,850.0,92.5595,0.10889
37.5,900.0,98.0042,0.10889
37.5,950.0,103.4489,0.10889
37.5,1000.0,108.8935,0.10889
37.5,1050.0,114.3382,0.10889
37.5,1100.0,119.7829,0.10889
37.5,1150.0,125.2276,0.10889
37.5,1200.0,130.6722,0.10889
37.5,1250.0,136.1169,0.10889
37.5,1300.0,141.5616,0.10889
37.5,1350.0,147.0063,0.10889
37.5,1400.0,152.4510,0.10889
37.5,1450.0,157.8956,0.10889
37.5,1500.0,163.3403,0.10889
40.0,200.0,20.4611,0.10231
40.0,250.0,25.5764,0.10231
40.0,300.0,30.6917,0.10231
40.0,350.0,35.8070,0.10231
40.0,400.0,40.9223,0.10231
40.0,450.0,46.0376,0.10231
40.0,500.0,51.1528,0.10231
40.0,550.0,56.2681,0.10231
40.0,600.0,61.3834,0.10231
40.0,650.0,66.4987,0.10231
40.0,700.0,71.6140,0.10231
40.0,750.0,76.7293,0.10231
40.0,800.0,81.8445,0.10231
40.0,850.0,86.9598,0.10231
40.0,900.0,92.0751,0.10231
40.0,950.0,97.1904,0.10231
40.0,1000.0,102.3057,0.10231
40.0,1050.0,107.4210,0.10231
40.0,1100.0,112.5363,0.10231
40.0,1150.0,117.6515,0.10231
40.0,1200.0,122.7668,0.10231
40.0,1250.0,127.8821,0.10231
40.0,1300.0,132.9974,0.10231
40.0,1350.0,138.1127,0.10231
40.0,1400.0,143.2280,0.10231
40.0,1450.0,148.3432,0.10231
40.0,1500.0,153.4585,0.10231
42.5,200.0,19.3029,0.09651
42.5,250.0,24.1287,0.09651
42.5,300.0,28.9544,0.09651
42.5,350.0,33.7802,0.09651
42.5,400.0,38.6059,0.09651
42.5,450.0,43.4316,0.09651
42.5,500.0,48.2574,0.09651
42.5,550.0,53.0831,0.09651
42.5,600.0,57.9088,0.09651
42.5,650.0,62.7346,0.09651
42.5,700.0,67.5603,0.09651
42.5,750.0,72.3860,0.09651
42.5,800.0,77.2118,0.09651
42.5,850.0,82.0375,0.09651
42.5,900.0,86.8632,0.09651
42.5,950.0,91.6890,0.09651
42.5,1000.0,96.5147,0.09651
42.5,1050.0,101.3405,0.09651
42.5,1100.0,106.1662,0.09651
42.5,1150.0,110.9919,0.09651
42.5,1200.0,115.8177,0.09651
42.5,1250.0,120.6434,0.09651
42.5,1300.0,125.4691,0.09651
42.5,1350.0,130.2949,0.09651
42.5,1400.0,135.1206,0.09651
42.5,1450.0,139.9463,0.09651
42.5,1500.0,144.7721,0.09651
45.0,200.0,18.2774,0.09139
45.0,250.0,22.8467,0.09139
45.0,300.0,27.4161,0.09139
45.0,350.0,31.9854,0.09139
45.0,400.0,36.5547,0.09139
45.0,450.0,41.1241,0.09139
45.0,500.0,45.6934,0.09139
45.0,550.0,50.2628,0.09139
45.0,600.0,54.8321,0.09139
45.0,650.0,59.4015,0.09139
45.0,700.0,63.9708,0.09139
45.0,750.0,68.5401,0.09139
45.0,800.0,73.1095,0.09139
45.0,850.0,77.6788,0.09139
45.0,900.0,82.2482,0.09139
45.0,950.0,86.8175,0.09139
45.0,1000.0,91.3869,0.09139
45.0,1050.0,95.9562,0.09139
45.0,1100.0,100.5255,0.09139
45.0,1150.0,105.0949,0.09139
45.0,1200.0,109.6642,0.09139
45.0,1250.0,114.2336,0.09139
45.0,1300.0,118.8029,0.09139
45.0,1350.0,123.3722,0.09139
45.0,1400.0,127.9416,0.09139
45.0,1450.0,132.5109,0.09139
45.0,1500.0,137.0803,0.09139
47.5,200.0,17.3633,0.08682
47.5,250.0,21.7042,0.08682
47.5,300.0,26.0450,0.08682
47.5,350.0,30.3859,0.08682
47.5,400.0,34.7267,0.08682
47.5,450.0,39.0675,0.08682
47.5,500.0,43.4084,0.08682
47.5,550.0,47.7492,0.08682
47.5,600.0,52.0900,0.08682
47.5,650.0,56.4309,0.08682
47.5,700.0,60.7717,0.08682
47.5,750.0,65.1126,0.08682
47.5,800.0,69.4534,0.08682
47.5,850.0,73.7942,0.08682
47.5,900.0,78.1351,0.08682
47.5,950.0,82.4759,0.08682
47.5,1000.0,86.8167,0.08682
47.5,1050.0,91.1576,0.08682
47.5,1100.0,95.4984,0.08682
47.5,1150.0,99.8392,0.08682
47.5,1200.0,104.1801,0.08682
47.5,1250.0,108.5209,0.08682
47.5,1300.0,112.8618,0.08682
47.5,1350.0,117.2026,0.08682
47.5,1400.0,121.5434,0.08682
47.5,1450.0,125.8843,0.08682
47.5,1500.0,130.2251,0.08682
50.0,200.0,16.5441,0.08272
50.0,250.0,20.6801,0.08272
50.0,300.0,24.8161,0.08272
50.0,350.0,28.9521,0.08272
50.0,400.0,33.0881,0.08272
50.0,450.0,37.2241,0.08272
50.0,500.0,41.3602,0.08272
50.0,550.0,45.4962,0.08272
50.0,600.0,49.6322,0.08272
50.0,650.0,53.7682,0.08272
50.0,700.0,57.9042,0.08272
50.0,750.0,62.0402,0.08272
50.0,800.0,66.1762,0.08272
50.0,850.0,70.3123,0.08272
50.0,900.0,74.4483,0.08272
50.0,950.0,78.5843,0.08272
50.0,1000.0,82.7203,0.08272
50.0,1050.0,86.8563,0.08272
50.0,1100.0,90.9923,0.08272
50.0,1150.0,95.1284,0.08272
50.0,1200.0,99.2644,0.08272
50.0,1250.0,103.4004,0.08272
50.0,1300.0,107.5364,0.08272
50.0,1350.0,111.6724,0.08272
50.0,1400.0,115.8084,0.08272
50.0,1450.0,119.9445,0.08272
50.0,1500.0,124.0805,0.08272
52.5,200.0,15.8059,0.07903
52.5,250.0,19.7574,0.07903
52.5,300.0,23.7089,0.07903
52.5,350.0,27.6604,0.07903
52.5,400.0,31.6119,0.07903
52.5,450.0,35.5633,0.07903
52.5,500.0,39.5148,0.07903
52.5,550.0,43.4663,0.07903
52.5,600.0,47.4178,0.07903
52.5,650.0,51.3693,0.07903
52.5,700.0,55.3208,0.07903
52.5,750.0,59.2722,0.07903
52.5,800.0,63.2237,0.07903
52.5,850.0,67.1752,0.07903
52.5,900.0,71.1267,0.07903
52.5,950.0,75.0782,0.07903
52.5,1000.0,79.0297,0.07903
52.5,1050.0,82.9811,0.07903
52.5,1100.0,86.9326,0.07903
52.5,1150.0,90.8841,0.07903
52.5,1200.0,94.8356,0.07903
52.5,1250.0,98.7871,0.07903
52.5,1300.0,102.7385,0.07903
52.5,1350.0,106.6900,0.07903
52.5,1400.0,110.6415,0.07903
52.5,1450.0,114.5930,0.07903
52.5,1500.0,118.5445,0.07903
55.0,200.0,15.1379,0.07569
55.0,250.0,18.9223,0.07569
55.0,300.0,22.7068,0.07569
55.0,350.0,26.4913,0.07569
55.0,400.0,30.2757,0.07569
55.0,450.0,34.0602,0.07569
55.0,500.0,37.8446,0.07569
55.0,550.0,41.6291,0.07569
55.0,600.0,45.4136,0.07569
55.0,650.0,49.1980,0.07569
55.0,700.0,52.9825,0.07569
55.0,750.0,56.7670,0.07569
55.0,800.0,60.5514,0.07569
55.0,850.0,64.3359,0.07569
55.0,900.0,68.1204,0.07569
55.0,950.0,71.9048,0.07569
55.0,1000.0,75.6893,0.07569
55.0,1050.0,79.4738,0.07569
55.0,1100.0,83.2582,0.07569
55.0,1150.0,87.0427,0.07569
55.0,1200.0,90.8271,0.07569
55.0,1250.0,94.6116,0.07569
55.0,1300.0,98.3961,0.07569
55.0,1350.0,102.1805,0.07569
55.0,1400.0,105.9650,0.07569
55.0,1450.0,109.7495,0.07569
55.0,1500.0,113.5339,0.07569
57.5,200.0,14.5307,0.07265
57.5,250.0,18.1634,0.07265
57.5,300.0,21.7960,0.07265
57.5,350.0,25.4287,0.07265
57.5,400.0,29.0614,0.07265
57.5,450.0,32.6941,0.07265
57.5,500.0,36.3267,0.07265
57.5,550.0,39.9594,0.07265
57.5,600.0,43.5921,0.07265
57.5,650.0,47.2248,0.07265
57.5,700.0,50.8574,0.07265
57.5,750.0,54.4901,0.07265
57.5,800.0,58.1228,0.07265
57.5,850.0,61.7555,0.07265
57.5,900.0,65.3881,0.07265
57.5,950.0,69.0208,0.07265
57.5,1000.0,72.6535,0.07265
57.5,1050.0,76.2861,0.07265
57.5,1100.0,79.9188,0.07265
57.5,1150.0,83.5515,0.07265
57.5,1200.0,87.1842,0.07265
57.5,1250.0,90.8168,0.07265
57.5,1300.0,94.4495,0.07265
57.5,1350.0,98.0822,0.07265
57.5,1400.0,101.7149,0.07265
57.5,1450.0,105.3475,0.07265
57.5,1500.0,108.9802,0.07265
60.0,200.0,13.9768,0.06988
60.0,250.0,17.4710,0.06988
60.0,300.0,20.9652,0.06988
60.0,350.0,24.4594,0.06988
60.0,400.0,27.9537,0.06988
60.0,450.0,31.4479,0.06988
60.0,500.0,34.9421,0.06988
60.0,550.0,38.4363,0.06988
60.0,600.0,41.9305,0.06988
60.0,650.0,45.4247,0.06988
60.0,700.0,48.9189,0.06988
60.0,750.0,52.4131,0.06988
60.0,800.0,55.9073,0.06988
60.0,850.0,59.4015,0.06988
60.0,900.0,62.8957,0.06988
60.0,950.0,66.3899,0.06988
60.0,1000.0,69.8841,0.06988
60.0,1050.0,73.3783,0.06988
60.0,1100.0,76.8726,0.06988
60.0,1150.0,80.3668,0.06988
60.0,1200.0,83.8610,0.06988
60.0,1250.0,87.3552,0.06988
60.0,1300.0,90.8494,0.06988
60.0,1350.0,94.3436,0.06988
60.0,1400.0,97.8378,0.06988
60.0,1450.0,101.3320,0.06988
60.0,1500.0,104.8262,0.06988
62.5,200.0,13.4699,0.06735
62.5,250.0,16.8373,0.06735
62.5,300.0,20.2048,0.06735
62.5,350.0,23.5723,0.06735
62.5,400.0,26.9397,0.06735
62.5,450.0,30.3072,0.06735
62.5,500.0,33.6747,0.06735
62.5,550.0,37.0421,0.06735
