psi_deg,d_m,worst_diam_m
-40.0,975,149.31
-40.0,1000,143.04
-37.5,825,204.27
-37.5,850,192.94
-37.5,875,182.61
-37.5,900,173.19
-37.5,925,164.57
-37.5,950,156.67
-37.5,975,149.42
-37.5,1000,142.77
-35.0,750,254.16
-35.0,775,237.66
-35.0,800,222.78
-35.0,825,209.32
-35.0,850,197.10
-35.0,875,185.98
-35.0,900,175.84
-35.0,925,166.59
-35.0,950,158.12
-35.0,975,150.35
-35.0,1000,143.23
-32.5,700,308.03
-32.5,725,285.48
-32.5,750,265.33
-32.5,775,247.26
-32.5,800,230.99
-32.5,825,216.30
-32.5,850,202.99
-32.5,875,190.89
-32.5,900,179.89
-32.5,925,169.85
-32.5,950,160.67
-32.5,975,152.28
-32.5,1000,144.59
-30.0,675,356.05
-30.0,700,327.66
-30.0,725,302.50
-30.0,750,280.08
-30.0,775,260.03
-30.0,800,242.02
-30.0,825,225.78
-30.0,850,211.10
-30.0,875,197.80
-30.0,900,185.71
-30.0,925,174.70
-30.0,950,164.65
-30.0,975,155.48
-30.0,1000,147.08
-27.5,625,465.13
-27.5,650,422.80
-27.5,675,385.93
-27.5,700,353.57
-27.5,725,325.01
-27.5,750,299.67
-27.5,775,277.06
-27.5,800,256.81
-27.5,825,238.61
-27.5,850,222.19
-27.5,875,207.34
-27.5,900,193.87
-27.5,925,181.63
-27.5,950,170.49
-27.5,975,160.33
-27.5,1000,151.05
-25.0,600,577.50
-25.0,625,519.28
-25.0,650,469.34
-25.0,675,426.11
-25.0,700,388.41
-25.0,725,355.29
-25.0,750,326.02
-25.0,775,300.03
-25.0,800,276.83
-25.0,825,256.04
-25.0,850,237.35
-25.0,875,220.49
-25.0,900,205.24
-25.0,925,191.41
-25.0,950,178.85
-25.0,975,167.41
-25.0,1000,156.99
-22.5,575,752.36
-22.5,600,666.80
-22.5,625,595.03
-22.5,650,534.09
-22.5,675,481.79
-22.5,700,436.52
-22.5,725,397.02
-22.5,750,362.32
-22.5,775,331.66
-22.5,800,304.43
-22.5,825,280.14
-22.5,850,258.37
-22.5,875,238.81
-22.5,900,221.16
-22.5,925,205.21
-22.5,950,190.76
-22.5,975,177.64
-22.5,1000,165.71
-20.0,575,912.53
-20.0,600,799.58
-20.0,625,706.41
-20.0,650,628.41
-20.0,675,562.30
-20.0,700,505.67
-20.0,725,456.72
-20.0,750,414.07
-20.0,775,376.65
-20.0,800,343.64
-20.0,825,314.34
-20.0,850,288.24
-20.0,875,264.87
-20.0,900,243.90
-20.0,925,225.01
-20.0,950,207.94
-20.0,975,192.50
-20.0,1000,178.50
-17.5,550,1383.96
-17.5,575,1176.43
-17.5,600,1013.56
-17.5,625,882.68
-17.5,650,775.49
-17.5,675,686.29
-17.5,700,611.08
-17.5,725,546.95
-17.5,750,491.73
-17.5,775,443.80
-17.5,800,401.88
-17.5,825,365.00
-17.5,850,332.37
-17.5,875,303.37
-17.5,900,277.47
-17.5,925,254.27
-17.5,950,233.42
-17.5,975,214.63
-17.5,1000,197.66
-15.0,550,2051.51
-15.0,575,1680.74
-15.0,600,1406.65
-15.0,625,1196.46
-15.0,650,1030.66
-15.0,675,896.90
-15.0,700,786.99
-15.0,725,695.30
-15.0,750,617.84
-15.0,775,551.68
-15.0,800,494.66
-15.0,825,445.11
-15.0,850,401.76
-15.0,875,363.60
-15.0,900,329.84
-15.0,925,299.83
-15.0,950,273.04
-15.0,975,249.06
-15.0,1000,227.52
-12.5,525,5803.33
-12.5,550,3989.83
-12.5,575,2976.16
-12.5,600,2331.90
-12.5,625,1888.14
-12.5,650,1565.14
-12.5,675,1320.36
-12.5,700,1129.07
-12.5,725,975.93
-12.5,750,850.91
-12.5,775,747.21
-12.5,800,660.02
-12.5,825,585.88
-12.5,850,522.23
-12.5,875,467.13
-12.5,900,419.08
-12.5,925,376.92
-12.5,950,339.74
-12.5,975,306.78
-12.5,1000,277.46
-10.0,525,10396.99
-10.0,550,45956.58
-10.0,575,12104.12
-10.0,600,6674.45
-10.0,625,4468.83
-10.0,650,3279.61
-10.0,675,2539.47
-10.0,700,2036.71
-10.0,725,1674.40
-10.0,750,1401.93
-10.0,775,1190.33
-10.0,800,1021.80
-10.0,825,884.84
-10.0,850,771.68
-10.0,875,676.90
-10.0,900,596.58
-10.0,925,527.86
-10.0,950,468.55
-10.0,975,417.00
-10.0,1000,371.92
-7.5,525,2542151.31
-7.5,550,236433.44
-7.5,575,585138.19
-7.5,600,45420.14
-7.5,625,12117.93
-7.5,650,6724.87
-7.5,675,22980.38
-7.5,700,9452.17
-7.5,725,5710.77
-7.5,750,3967.33
-7.5,775,2964.25
-7.5,800,2315.85
-7.5,825,1864.42
-7.5,850,1533.51
-7.5,875,1281.59
-7.5,900,1084.18
-7.5,925,925.91
-7.5,950,796.67
-7.5,975,689.53
-7.5,1000,599.59
-5.0,525,inf
-5.0,550,inf
-5.0,575,inf
-5.0,600,inf
-5.0,625,inf
-5.0,650,94191.75
-5.0,675,70370.95
-5.0,700,384627.72
-5.0,725,10881.08
-5.0,750,5095.66
-5.0,775,20440.31
-5.0,800,9361.70
-5.0,825,5860.19
-5.0,850,29326.01
-5.0,875,9972.63
-5.0,900,5694.79
-5.0,925,3828.15
-5.0,950,2789.31
-5.0,975,2131.78
-5.0,1000,1680.93
-2.5,525,inf
-2.5,550,inf
-2.5,575,inf
-2.5,600,inf
-2.5,625,inf
-2.5,650,inf
-2.5,675,inf
-2.5,700,inf
-2.5,725,inf
-2.5,750,inf
-2.5,775,inf
-2.5,800,inf
-2.5,825,inf
-2.5,850,inf
-2.5,875,inf
-2.5,900,inf
-2.5,925,inf
-2.5,950,inf
-2.5,975,inf
-2.5,1000,inf
0.0,525,inf
0.0,550,inf
0.0,575,inf
0.0,600,inf
0.0,625,inf
0.0,650,inf
0.0,675,inf
0.0,700,inf
0.0,725,inf
0.0,750,inf
0.0,775,inf
0.0,800,inf
0.0,825,inf
0.0,850,inf
0.0,875,inf
0.0,900,inf
0.0,925,inf
0.0,950,inf
0.0,975,inf
0.0,1000,inf
2.5,525,inf
2.5,550,inf
2.5,575,inf
2.5,600,inf
2.5,625,inf
2.5,650,inf
2.5,675,inf
2.5,700,inf
2.5,725,inf
2.5,750,inf
2.5,775,inf
2.5,800,inf
2.5,825,inf
2.5,850,inf
2.5,875,inf
2.5,900,inf
2.5,925,inf
2.5,950,inf
2.5,975,inf
2.5,1000,inf
5.0,525,inf
5.0,550,inf
5.0,575,inf
5.0,600,inf
5.0,625,inf
5.0,650,94191.75
5.0,675,70370.95
5.0,700,384627.72
5.0,725,10881.08
5.0,750,5095.66
5.0,775,20440.31
5.0,800,9361.70
5.0,825,5860.19
5.0,850,29326.01
5.0,875,9972.63
5.0,900,5694.79
5.0,925,3828.15
5.0,950,2789.31
5.0,975,2131.78
5.0,1000,1680.93
7.5,525,2542151.31
7.5,550,236433.44
7.5,575,585138.19
7.5,600,45420.14
7.5,625,12117.93
7.5,650,6724.87
7.5,675,22980.38
7.5,700,9452.17
7.5,725,5710.77
7.5,750,3967.33
7.5,775,2964.25
7.5,800,2315.85
7.5,825,1864.42
7.5,850,1533.51
7.5,875,1281.59
7.5,900,1084.18
7.5,925,925.91
7.5,950,796.67
7.5,975,689.53
7.5,1000,599.59
10.0,525,10396.99
10.0,550,45956.58
10.0,575,12104.12
10.0,600,6674.45
10.0,625,4468.83
10.0,650,3279.61
10.0,675,2539.47
10.0,700,2036.71
10.0,725,1674.40
10.0,750,1401.93
10.0,775,1190.33
10.0,800,1021.80
10.0,825,884.84
10.0,850,771.68
10.0,875,676.90
10.0,900,596.58
10.0,925,527.86
10.0,950,468.55
10.0,975,417.00
10.0,1000,371.92
12.5,525,5803.33
12.5,550,3989.83
12.5,575,2976.16
12.5,600,2331.90
12.5,625,1888.14
12.5,650,1565.14
12.5,675,1320.36
12.5,700,1129.07
12.5,725,975.93
12.5,750,850.91
12.5,775,747.21
12.5,800,660.02
12.5,825,585.88
12.5,850,522.23
12.5,875,467.13
12.5,900,419.08
12.5,925,376.92
12.5,950,339.74
12.5,975,306.78
12.5,1000,277.46
15.0,550,2051.51
15.0,575,1680.74
15.0,600,1406.65
15.0,625,1196.46
15.0,650,1030.66
15.0,675,896.90
15.0,700,786.99
15.0,725,695.30
15.0,750,617.84
15.0,775,551.68
15.0,800,494.66
15.0,825,445.11
15.0,850,401.76
15.0,875,363.60
15.0,900,329.84
15.0,925,299.83
15.0,950,273.04
15.0,975,249.06
15.0,1000,227.52
17.5,550,1383.96
17.5,575,1176.43
17.5,600,1013.56
17.5,625,882.68
17.5,650,775.49
17.5,675,686.29
17.5,700,611.08
17.5,725,546.95
17.5,750,491.73
17.5,775,443.80
17.5,800,401.88
17.5,825,365.00
17.5,850,332.37
17.5,875,303.37
17.5,900,277.47
17.5,925,254.27
17.5,950,233.42
17.5,975,214.63
17.5,1000,197.66
20.0,575,912.53
20.0,600,799.58
20.0,625,706.41
20.0,650,628.41
20.0,675,562.30
20.0,700,505.67
20.0,725,456.72
20.0,750,414.07
20.0,775,376.65
20.0,800,343.64
20.0,825,314.34
20.0,850,288.24
20.0,875,264.87
20.0,900,243.90
20.0,925,225.01
20.0,950,207.94
20.0,975,192.50
20.0,1000,178.50
22.5,575,752.36
22.5,600,666.80
22.5,625,595.03
22.5,650,534.09
22.5,675,481.79
22.5,700,436.52
22.5,725,397.02
22.5,750,362.32
22.5,775,331.66
22.5,800,304.43
22.5,825,280.14
22.5,850,258.37
22.5,875,238.81
22.5,900,221.16
22.5,925,205.21
22.5,950,190.76
22.5,975,177.64
22.5,1000,165.71
25.0,600,577.50
25.0,625,519.28
25.0,650,469.34
25.0,675,426.11
25.0,700,388.41
25.0,725,355.29
25.0,750,326.02
25.0,775,300.03
25.0,800,276.83
25.0,825,256.04
25.0,850,237.35
25.0,875,220.49
25.0,900,205.24
25.0,925,191.41
25.0,950,178.85
25.0,975,167.41
25.0,1000,156.99
27.5,625,465.13
27.5,650,422.80
27.5,675,385.93
27.5,700,353.57
27.5,725,325.01
27.5,750,299.67
27.5,775,277.06
27.5,800,256.81
27.5,825,238.61
27.5,850,222.19
27.5,875,207.34
27.5,900,193.87
27.5,925,181.63
27.5,950,170.49
27.5,975,160.33
27.5,1000,151.05
30.0,675,356.05
30.0,700,327.66
30.0,725,302.50
30.0,750,280.08
30.0,775,260.03
30.0,800,242.02
30.0,825,225.78
30.0,850,211.10
30.0,875,197.80
30.0,900,185.71
30.0,925,174.70
30.0,950,164.65
30.0,975,155.48
30.0,1000,147.08
32.5,700,308.03
32.5,725,285.48
32.5,750,265.33
32.5,775,247.26
32.5,800,230.99
32.5,825,216.30
32.5,850,202.99
32.5,875,190.89
32.5,900,179.89
32.5,925,169.85
32.5,950,160.67
32.5,975,152.28
32.5,1000,144.59
35.0,750,254.16
35.0,775,237.66
35.0,800,222.78
35.0,825,209.32
35.0,850,197.10
35.0,875,185.98
35.0,900,175.84
35.0,925,166.59
35.0,950,158.12
35.0,975,150.35
35.0,1000,143.23
37.5,825,204.27
37.5,850,192.94
37.5,875,182.61
37.5,900,173.19
37.5,925,164.57
37.5,950,156.67
37.5,975,149.42
37.5,1000,142.77
40.0,975,149.31
40.0,1000,143.04
