seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
1,13,13,1.0,4629.329072822668,356.1022363709745,0.21900000000005093,0.21900000000005093,148,13,0,146,161,163,7,user_exit,,3 9 12 13 18 19 20,163,0.21900000000005093
2,15,15,1.0,4688.13569404791,312.542379603194,0.25,0.25,157,15,0,147,172,174,7,user_exit,,6 7 8 10 11,174,0.25
3,15,15,1.0,4599.749210521636,306.64994736810905,0.26599999999962165,0.26599999999962165,156,15,0,150,171,173,7,user_exit,,3 12 15 19 20,173,0.26599999999962165
4,15,15,1.0,4562.770483540379,304.18469890269193,0.25,0.25,155,15,0,145,170,172,7,user_exit,,2 3 8 19 20,172,0.25
5,14,14,1.0,4804.488597669417,343.1777569763869,0.13999999999941792,0.13999999999941792,154,14,0,147,168,170,7,user_exit,,2 9 10 13 17 20,170,0.13999999999941792
6,13,13,1.0,4263.5740318169455,327.9672332166881,0.25,0.25,155,13,0,144,168,170,7,user_exit,,1 2 3 8 10 15 20,170,0.25
7,16,16,1.0,5259.001204386574,328.68757527416085,0.25,0.25,158,16,0,150,174,176,7,user_exit,,2 6 11 12,176,0.25
8,15,15,1.0,4291.843278128061,286.1228852085374,0.20300000000042928,0.20300000000042928,150,15,0,145,165,167,7,user_exit,,3 5 6 12 15,167,0.20300000000042928
9,12,12,1.0,4299.0046836629435,358.2503903052453,0.18800000000010186,0.18800000000010186,152,12,0,147,164,166,7,user_exit,,1 3 5 6 7 9 15 16,166,0.18800000000010186
10,15,15,1.0,4677.089512085619,311.8059674723746,0.25,0.25,158,15,0,149,173,175,7,user_exit,,1 4 5 15 20,175,0.25
11,10,10,1.0,3788.0442872347703,378.80442872347703,0.23400000000037835,0.23400000000037835,146,10,0,143,156,158,7,user_exit,,4 5 6 8 11 13 14 16 17 19,158,0.23400000000037835
12,14,14,1.0,4733.03452393669,338.0738945669064,0.31300000000010186,0.31300000000010186,155,14,0,148,169,171,7,user_exit,,5 7 10 11 15 17,171,0.31300000000010186
13,16,16,1.0,5333.511308145403,333.3444567590877,0.375,0.375,167,16,0,150,183,185,7,user_exit,,4 9 13 20,185,0.375
14,11,11,1.0,4253.726075115136,386.7023704650124,0.23500000000058208,0.23500000000058208,145,11,0,143,156,158,7,user_exit,,1 3 7 13 15 16 18 19 20,158,0.23500000000058208
15,16,16,1.0,5142.825806869734,321.4266129293584,0.31300000000010186,0.31300000000010186,160,16,0,149,176,178,7,user_exit,,10 11 17 19,178,0.31300000000010186
16,13,13,1.0,4569.534426789866,351.5026482146051,0.28099999999994907,0.28099999999994907,162,13,0,149,175,177,7,user_exit,,3 4 11 12 13 15 19,177,0.28099999999994907
17,15,15,1.0,4489.659562840224,299.3106375226816,0.3280000000004293,0.3280000000004293,161,15,0,145,176,178,7,user_exit,,3 11 14 15 18,178,0.3280000000004293
18,16,16,1.0,4788.0099577871515,299.25062236169697,0.23499999999967258,0.23499999999967258,151,16,0,146,167,169,7,user_exit,,5 15 17 18,169,0.23499999999967258
19,14,14,1.0,4197.174549628325,299.7981821163089,0.2960000000002765,0.2960000000002765,155,14,0,147,169,171,7,user_exit,,2 6 10 14 17 19,171,0.2960000000002765
20,16,16,1.0,4354.0273169894135,272.12670731183835,0.21900000000005093,0.21900000000005093,147,16,0,144,163,165,7,user_exit,,7 10 14 16,165,0.21900000000005093
