seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
1,13,13,1.0,5264.8736404898145,404.990280037678,0.031000000000858563,0.031000000000858563,159,13,0,148,172,174,7,user_exit,,3 9 12 13 18 19 20,174,0.031000000000858563
2,15,15,1.0,5450.471544620329,363.3647696413553,0.3289999999997235,0.3289999999997235,165,15,0,152,180,182,7,user_exit,,6 7 8 10 11,182,0.3289999999997235
3,15,15,1.0,5426.657103721707,361.7771402481138,0.046000000000276486,0.046000000000276486,171,15,0,153,186,188,7,user_exit,,3 12 15 19 20,188,0.046000000000276486
4,15,15,1.0,5048.629945489545,336.57532969930304,0.04700000000048021,0.04700000000048021,166,15,0,150,181,183,7,user_exit,,2 3 8 19 20,183,0.04700000000048021
5,14,14,1.0,5183.458367396342,370.24702624259584,0.0319999999992433,0.0319999999992433,166,14,0,150,180,182,7,user_exit,,2 9 10 13 17 20,182,0.0319999999992433
6,13,13,1.0,4514.6997442399115,347.2845957107624,0.031000000000858563,0.031000000000858563,158,13,0,148,171,173,7,user_exit,,1 2 3 8 10 15 20,173,0.031000000000858563
7,16,16,1.0,6072.415177381625,379.52594858635155,0.046999999998661224,0.046999999998661224,181,16,0,153,197,199,7,user_exit,,2 6 11 12,199,0.046999999998661224
8,15,15,1.0,4936.345805389576,329.08972035930503,0.04700000000048021,0.04700000000048021,168,15,0,153,183,185,7,user_exit,,3 5 6 12 15,185,0.04700000000048021
9,12,12,1.0,5084.3893375623875,423.6991114635323,0.031000000000858563,0.031000000000858563,159,12,0,148,171,173,7,user_exit,,1 3 5 6 7 9 15 16,173,0.031000000000858563
10,15,14,0.9333333333333333,5167.918736696748,369.1370526211963,0.030999999999039574,0.030999999999039574,168,14,0,151,182,184,7,user_exit,,1 4 5 8 15 20,184,0.030999999999039574
11,10,10,1.0,4351.468657871848,435.1468657871848,0.031000000000858563,0.031000000000858563,167,10,0,148,177,179,7,user_exit,,4 5 6 8 11 13 14 16 17 19,179,0.031000000000858563
12,14,14,1.0,5290.249342191884,377.87495301370603,0.04700000000048021,0.04700000000048021,166,14,0,152,180,182,7,user_exit,,5 7 10 11 15 17,182,0.04700000000048021
13,16,16,1.0,5612.528672208938,350.7830420130586,0.030999999999039574,0.030999999999039574,175,16,0,154,191,193,7,user_exit,,4 9 13 20,193,0.030999999999039574
14,11,11,1.0,4584.429166389545,416.766287853595,0.031000000000858563,0.031000000000858563,153,11,0,147,164,166,7,user_exit,,1 3 7 13 15 16 18 19 20,166,0.031000000000858563
15,16,16,1.0,5760.5975061255485,360.0373441328468,0.046999999998661224,0.046999999998661224,171,16,0,155,187,189,7,user_exit,,10 11 17 19,189,0.046999999998661224
16,13,13,1.0,5150.16725556242,396.16671196634,0.031000000000858563,0.031000000000858563,168,13,0,151,181,183,7,user_exit,,3 4 11 12 13 15 19,183,0.031000000000858563
17,15,15,1.0,4833.568238934395,322.23788259562633,0.0319999999992433,0.0319999999992433,161,15,0,149,176,178,7,user_exit,,3 11 14 15 18,178,0.0319999999992433
18,16,16,1.0,5533.189624567883,345.82435153549267,0.04700000000048021,0.04700000000048021,163,16,0,152,179,181,7,user_exit,,5 15 17 18,181,0.04700000000048021
19,14,14,1.0,4879.802804202867,348.55734315734765,0.031000000000858563,0.031000000000858563,169,14,0,152,183,185,7,user_exit,,2 6 10 14 17 19,185,0.031000000000858563
20,16,16,1.0,5046.654283275476,315.41589270471724,0.046999999998661224,0.046999999998661224,162,16,0,149,178,180,7,user_exit,,7 10 14 16,180,0.046999999998661224
