seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
1,13,13,1.0,4966.005856409657,382.00045049305055,0.03099999999994907,0.03099999999994907,157,13,0,149,170,172,7,user_exit,,3 9 12 13 18 19 20,172,0.03099999999994907
2,15,15,1.0,5201.691119478927,346.77940796526184,0.04699999999957072,0.04699999999957072,173,15,0,153,188,190,7,user_exit,,6 7 8 10 11,190,0.04699999999957072
3,15,15,1.0,5289.731950039214,352.64879666928096,0.03099999999994907,0.03099999999994907,172,15,0,153,187,189,7,user_exit,,3 12 15 19 20,189,0.03099999999994907
4,15,15,1.0,4805.4673662461055,320.3644910830737,0.03099999999994907,0.03099999999994907,164,15,0,150,179,181,7,user_exit,,2 3 8 19 20,181,0.03099999999994907
5,14,14,1.0,5217.970484270922,372.71217744792295,0.03099999999994907,0.03099999999994907,166,14,0,151,180,182,7,user_exit,,2 9 10 13 17 20,182,0.03099999999994907
6,13,13,1.0,4453.202963754958,342.55407413499677,0.03099999999994907,0.03099999999994907,164,13,0,148,177,179,7,user_exit,,1 2 3 8 10 15 20,179,0.03099999999994907
7,16,16,1.0,5668.909779030714,354.30686118941964,0.04699999999957072,0.04699999999957072,169,16,0,154,185,187,7,user_exit,,2 6 11 12,187,0.04699999999957072
8,15,15,1.0,4690.868488509915,312.724565900661,0.016000000000531145,0.016000000000531145,163,15,0,151,178,180,7,user_exit,,3 5 6 12 15,180,0.016000000000531145
9,12,12,1.0,4812.115437725694,401.00961981047453,0.03099999999994907,0.03099999999994907,164,12,0,150,176,178,7,user_exit,,1 3 5 6 7 9 15 16,178,0.03099999999994907
10,15,15,1.0,5140.916059647531,342.7277373098354,0.04699999999957072,0.04699999999957072,169,15,0,152,184,186,7,user_exit,,1 4 5 15 20,186,0.04699999999957072
11,10,10,1.0,3980.762547767429,398.0762547767429,0.03099999999994907,0.03099999999994907,154,10,0,146,164,166,7,user_exit,,4 5 6 8 11 13 14 16 17 19,166,0.03099999999994907
12,14,14,1.0,5209.673624719792,372.1195446228423,0.032000000000152795,0.032000000000152795,169,14,0,153,183,185,7,user_exit,,5 7 10 11 15 17,185,0.032000000000152795
13,16,16,1.0,5644.497232406369,352.7810770253981,0.03099999999994907,0.03099999999994907,179,16,0,155,195,197,7,user_exit,,4 9 13 20,197,0.03099999999994907
14,11,11,1.0,4466.915417805724,406.0832198005204,0.03099999999994907,0.03099999999994907,156,11,0,149,167,169,7,user_exit,,1 3 7 13 15 16 18 19 20,169,0.03099999999994907
15,16,16,1.0,5586.152779257906,349.13454870361915,0.03099999999994907,0.03099999999994907,173,16,0,153,189,191,7,user_exit,,10 11 17 19,191,0.03099999999994907
16,13,13,1.0,4843.84885331572,372.6037579473631,0.03099999999994907,0.03099999999994907,170,13,0,151,183,185,7,user_exit,,3 4 11 12 13 15 19,185,0.03099999999994907
17,15,15,1.0,4648.224625007655,309.881641667177,0.03099999999994907,0.03099999999994907,169,15,0,147,184,186,7,user_exit,,3 11 14 15 18,186,0.03099999999994907
18,16,16,1.0,5093.092064460414,318.31825402877587,0.032000000000152795,0.032000000000152795,162,16,0,151,178,180,7,user_exit,,5 15 17 18,180,0.032000000000152795
19,14,14,1.0,4629.042354199573,330.6458824428267,0.03099999999994907,0.03099999999994907,167,14,0,151,181,183,7,user_exit,,2 6 10 14 17 19,183,0.03099999999994907
20,16,16,1.0,4851.234659294873,303.2021662059296,0.03099999999994907,0.03099999999994907,166,16,0,153,182,184,7,user_exit,,7 10 14 16,184,0.03099999999994907
21,12,12,1.0,4750.369692520853,395.86414104340446,0.03099999999994907,0.03099999999994907,164,12,0,149,176,178,7,user_exit,,1 3 9 13 14 15 17 18,178,0.03099999999994907
22,15,15,1.0,5328.482768667603,355.2321845778402,0.04699999999957072,0.04699999999957072,169,15,0,153,184,186,7,user_exit,,4 10 12 14 20,186,0.04699999999957072
23,10,10,1.0,4266.253018756532,426.6253018756532,0.016000000000531145,0.016000000000531145,155,10,0,148,165,167,7,user_exit,,1 5 7 11 12 15 16 18 19 20,167,0.016000000000531145
24,12,12,1.0,4990.812283407304,415.9010236172753,0.03099999999994907,0.03099999999994907,161,12,0,149,173,175,7,user_exit,,1 4 6 9 14 16 18 20,175,0.03099999999994907
25,13,13,1.0,4661.430166484987,358.57155126807595,0.04699999999957072,0.04699999999957072,162,13,0,151,175,177,7,user_exit,,7 9 10 14 17 18 19,177,0.04699999999957072
26,16,16,1.0,5406.033023527519,337.8770639704699,0.03099999999994907,0.03099999999994907,175,16,0,153,191,193,7,user_exit,,5 6 14 15,193,0.03099999999994907
27,10,10,1.0,4502.026533287861,450.2026533287861,0.032000000000152795,0.032000000000152795,163,10,0,147,173,175,7,user_exit,,1 7 9 11 12 13 15 16 17 20,175,0.032000000000152795
28,14,14,1.0,5406.0008525313115,386.14291803795084,0.03099999999994907,0.03099999999994907,175,14,0,152,189,191,7,user_exit,,4 5 12 13 16 18,191,0.03099999999994907
