seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
1,13,13,1.0,4799.4646702628215,369.18959002021705,0.031000000000858563,0.031000000000858563,152,13,0,146,165,167,7,user_exit,,3 9 12 13 18 19 20,167,0.031000000000858563
2,15,15,1.0,4847.861105423681,323.1907403615787,0.030999999999039574,0.030999999999039574,160,15,0,148,175,177,7,user_exit,,6 7 8 10 11,177,0.030999999999039574
3,15,15,1.0,4947.838175093868,329.8558783395912,0.031000000000858563,0.031000000000858563,161,15,0,150,176,178,7,user_exit,,3 12 15 19 20,178,0.031000000000858563
4,15,15,1.0,4672.513730662375,311.50091537749165,0.04700000000048021,0.04700000000048021,158,15,0,146,173,175,7,user_exit,,2 3 8 19 20,175,0.04700000000048021
5,14,14,1.0,5193.585036582509,370.9703597558935,0.2969999999986612,0.2969999999986612,161,14,0,147,175,177,7,user_exit,,2 9 10 13 17 20,177,0.2969999999986612
6,13,13,1.0,4385.426256528235,337.3404812714027,0.031000000000858563,0.031000000000858563,160,13,0,146,173,175,7,user_exit,,1 2 3 8 10 15 20,175,0.031000000000858563
7,16,16,1.0,5385.6134423377425,336.6008401461089,0.0319999999992433,0.0319999999992433,160,16,0,150,176,178,7,user_exit,,2 6 11 12,178,0.0319999999992433
8,15,15,1.0,4451.471339513434,296.7647559675623,0.031000000000858563,0.031000000000858563,154,15,0,146,169,171,7,user_exit,,3 5 6 12 15,171,0.031000000000858563
9,12,12,1.0,4533.714663938684,377.80955532822367,0.030999999999039574,0.030999999999039574,156,12,0,147,168,170,7,user_exit,,1 3 5 6 7 9 15 16,170,0.030999999999039574
10,15,15,1.0,4914.086636252796,327.6057757501864,0.031000000000858563,0.031000000000858563,162,15,0,149,177,179,7,user_exit,,1 4 5 15 20,179,0.031000000000858563
11,10,10,1.0,3923.8000795941352,392.38000795941355,0.0319999999992433,0.0319999999992433,152,10,0,145,162,164,7,user_exit,,4 5 6 8 11 13 14 16 17 19,164,0.0319999999992433
12,14,14,1.0,5072.515379865867,362.3225271332762,0.031000000000858563,0.031000000000858563,162,14,0,149,176,178,7,user_exit,,5 7 10 11 15 17,178,0.031000000000858563
13,16,16,1.0,5457.748352239441,341.1092720149651,0.04700000000048021,0.04700000000048021,172,16,0,152,188,190,7,user_exit,,4 9 13 20,190,0.04700000000048021
14,11,11,1.0,4327.64753826191,393.42250347835545,0.014999999999417923,0.014999999999417923,149,11,0,145,160,162,7,user_exit,,1 3 7 13 15 16 18 19 20,162,0.014999999999417923
15,16,16,1.0,5244.642254792972,327.7901409245608,0.04700000000048021,0.04700000000048021,162,16,0,149,178,180,7,user_exit,,10 11 17 19,180,0.04700000000048021
16,13,13,1.0,4683.0671882821935,360.23593756016874,0.0319999999992433,0.0319999999992433,166,13,0,149,179,181,7,user_exit,,3 4 11 12 13 15 19,181,0.0319999999992433
17,15,15,1.0,4635.818548533511,309.05456990223405,0.031000000000858563,0.031000000000858563,167,15,0,145,182,184,7,user_exit,,3 11 14 15 18,184,0.031000000000858563
18,16,16,1.0,4963.542329562444,310.22139559765276,0.0319999999992433,0.0319999999992433,156,16,0,147,172,174,7,user_exit,,5 15 17 18,174,0.0319999999992433
19,14,14,1.0,4447.059632174537,317.6471165838955,0.031000000000858563,0.031000000000858563,160,14,0,147,174,176,7,user_exit,,2 6 10 14 17 19,176,0.031000000000858563
20,16,16,1.0,4537.650366240637,283.6031478900398,0.030999999999039574,0.030999999999039574,152,16,0,145,168,170,7,user_exit,,7 10 14 16,170,0.030999999999039574
21,12,12,1.0,4690.489771658225,390.87414763818543,0.031000000000858563,0.031000000000858563,162,12,0,148,174,176,7,user_exit,,1 3 9 13 14 15 17 18,176,0.031000000000858563
22,15,15,1.0,5134.970452629572,342.3313635086381,0.0319999999992433,0.0319999999992433,160,15,0,149,175,177,7,user_exit,,4 10 12 14 20,177,0.0319999999992433
23,10,10,1.0,4040.754973999764,404.07549739997637,0.031000000000858563,0.031000000000858563,148,10,0,146,158,160,7,user_exit,,1 5 7 11 12 15 16 18 19 20,160,0.031000000000858563
24,12,12,1.0,4843.42485130218,403.618737608515,0.030999999999039574,0.030999999999039574,152,12,0,145,164,166,7,user_exit,,1 4 6 9 14 16 18 20,166,0.030999999999039574
25,13,13,1.0,4415.459355199981,339.65071963076775,0.031000000000858563,0.031000000000858563,152,13,0,146,165,167,7,user_exit,,7 9 10 14 17 18 19,167,0.031000000000858563
26,16,16,1.0,5048.231569936567,315.51447312103545,0.0319999999992433,0.0319999999992433,166,16,0,149,182,184,7,user_exit,,5 6 14 15,184,0.0319999999992433
27,10,10,1.0,4429.507795689606,442.95077956896057,0.031000000000858563,0.031000000000858563,159,10,0,144,169,171,7,user_exit,,1 7 9 11 12 13 15 16 17 20,171,0.031000000000858563
28,14,14,1.0,5168.415368885423,369.1725263489588,0.030999999999039574,0.030999999999039574,167,14,0,149,181,183,7,user_exit,,4 5 12 13 16 18,183,0.030999999999039574
29,16,16,1.0,4982.427111679195,311.4016944799497,0.031000000000858563,0.031000000000858563,157,16,0,148,173,175,7,user_exit,,6 9 11 19,175,0.031000000000858563
30,10,10,1.0,3885.026507069316,388.5026507069316,0.0319999999992433,0.0319999999992433,146,10,0,143,156,158,7,user_exit,,1 7 8 9 12 13 16 18 19 20,158,0.0319999999992433
31,13,13,1.0,4426.895297759097,340.5304075199305,0.031000000000858563,0.031000000000858563,153,13,0,146,166,168,7,user_exit,,3 10 13 15 16 17 19,168,0.031000000000858563
32,16,16,1.0,5221.116529123058,326.31978307019114,0.04700000000048021,0.04700000000048021,171,16,0,149,187,189,7,user_exit,,2 7 10 20,189,0.04700000000048021
33,16,16,1.0,5258.2770172259125,328.64231357661953,0.030999999999039574,0.030999999999039574,167,16,0,150,183,185,7,user_exit,,1 2 5 17,185,0.030999999999039574
34,10,10,1.0,4045.1494885429515,404.51494885429514,0.031000000000858563,0.031000000000858563,150,10,0,145,160,162,7,user_exit,,3 5 7 8 9 11 13 15 19 20,162,0.031000000000858563
35,10,10,1.0,3928.158116753251,392.8158116753251,0.01599999999962165,0.01599999999962165,148,10,0,144,158,160,7,user_exit,,3 5 7 8 9 12 13 18 19 20,160,0.01599999999962165
36,12,12,1.0,4445.495801481657,370.4579834568047,0.030999999999039574,0.030999999999039574,160,12,0,149,172,174,7,user_exit,,1 3 4 8 13 16 19 20,174,0.030999999999039574
37,11,11,1.0,4156.209665597321,377.8372423270292,0.014999999999417923,0.014999999999417923,154,11,0,146,165,167,7,user_exit,,2 3 9 11 13 15 17 18 20,167,0.014999999999417923
38,11,11,1.0,3889.906619047863,353.62787445889666,0.0319999999992433,0.0319999999992433,146,11,0,143,157,159,7,user_exit,,7 9 10 12 13 14 15 18 20,159,0.0319999999992433
39,16,16,1.0,5599.429375265553,349.96433595409707,0.031000000000858563,0.031000000000858563,160,16,0,147,176,178,7,user_exit,,1 14 19 20,178,0.031000000000858563
40,13,13,1.0,3804.66050361914,292.6661925860877,0.030999999999039574,0.030999999999039574,150,13,0,146,163,165,7,user_exit,,3 4 9 11 15 18 20,165,0.030999999999039574
41,14,14,1.0,4742.310802663356,338.73648590452547,0.031000000000858563,0.031000000000858563,150,14,0,143,164,166,7,user_exit,,1 12 14 15 16 20,166,0.031000000000858563
42,10,10,1.0,4398.724341040369,439.87243410403687,0.0319999999992433,0.0319999999992433,152,10,0,145,162,164,7,user_exit,,1 3 5 10 14 15 16 17 18 20,164,0.0319999999992433
43,13,13,1.0,4180.671045521349,321.59008042471913,0.031000000000858563,0.031000000000858563,150,13,0,144,163,165,7,user_exit,,2 3 8 9 11 18 20,165,0.031000000000858563
44,14,14,1.0,4480.802480501835,320.05732003584535,0.030999999999039574,0.030999999999039574,157,14,0,148,171,173,7,user_exit,,6 9 11 12 14 19,173,0.030999999999039574
45,16,16,1.0,4985.32121115246,311.58257569702874,0.031000000000858563,0.031000000000858563,159,16,0,149,175,177,7,user_exit,,1 2 11 17,177,0.031000000000858563
46,13,13,1.0,3918.364278006878,301.41263676975984,0.0319999999992433,0.0319999999992433,146,13,0,144,159,161,7,user_exit,,5 6 10 11 12 16 17,161,0.0319999999992433
47,10,10,1.0,4535.608796240124,453.56087962401244,0.015000000001236913,0.015000000001236913,151,10,0,146,161,163,7,user_exit,,1 3 4 5 6 11 12 13 16 20,163,0.015000000001236913
48,10,10,1.0,4114.339174146611,411.4339174146611,0.0319999999992433,0.0319999999992433,147,10,0,144,157,159,7,user_exit,,2 3 4 7 9 11 14 16 19 20,159,0.0319999999992433
49,10,10,1.0,4374.813280006109,437.4813280006109,0.014999999999417923,0.014999999999417923,152,10,4,145,166,168,7,user_exit,,2 3 5 7 10 14 15 16 19 20,168,0.014999999999417923
50,15,15,1.0,5097.5518431127375,339.83678954084917,0.030999999999039574,0.030999999999039574,164,15,0,147,179,181,7,user_exit,,1 9 13 14 18,181,0.030999999999039574
51,12,12,1.0,4726.663608215007,393.88863401791724,0.031000000000858563,0.031000000000858563,158,12,0,145,170,172,7,user_exit,,1 2 3 6 7 11 12 20,172,0.031000000000858563
52,16,16,1.0,4512.690087414688,282.043130463418,0.0319999999992433,0.0319999999992433,157,16,0,149,173,175,7,user_exit,,3 11 17 20,175,0.0319999999992433
53,15,15,1.0,5432.760056507999,362.18400376719995,0.031000000000858563,0.031000000000858563,165,15,0,148,180,182,7,user_exit,,3 7 9 10 20,182,0.031000000000858563
54,12,12,1.0,4160.474357127562,346.70619642729685,0.030999999999039574,0.030999999999039574,156,12,0,144,168,170,7,user_exit,,1 5 8 10 11 14 15 16,170,0.030999999999039574
55,16,16,1.0,4498.406658053916,281.1504161283697,0.031000000000858563,0.031000000000858563,153,16,0,145,169,171,7,user_exit,,1 4 10 11,171,0.031000000000858563
56,12,12,1.0,4674.858515718765,389.57154297656376,0.0319999999992433,0.0319999999992433,162,12,4,148,178,180,7,user_exit,,2 3 8 14 15 17 18 19,180,0.0319999999992433
57,10,10,1.0,4691.911254678837,469.19112546788375,0.031000000000858563,0.031000000000858563,147,10,0,143,157,159,7,user_exit,,1 2 3 4 9 11 12 14 17 18,159,0.031000000000858563
58,13,13,1.0,4300.883033119147,330.8371563937805,0.030999999999039574,0.030999999999039574,159,13,0,148,172,174,7,user_exit,,1 2 4 5 8 15 20,174,0.030999999999039574
59,15,15,1.0,4678.880147002462,311.92534313349745,0.031000000000858563,0.031000000000858563,152,15,0,145,167,169,7,user_exit,,8 10 12 14 15,169,0.031000000000858563
60,11,11,1.0,4029.9234259892028,366.35667508992753,0.0319999999992433,0.0319999999992433,154,11,0,145,165,167,7,user_exit,,2 3 6 7 8 9 10 11 20,167,0.0319999999992433
61,12,12,1.0,4292.009703575015,357.6674752979179,0.031000000000858563,0.031000000000858563,149,12,0,144,161,163,7,user_exit,,1 2 5 7 10 12 14 16,163,0.031000000000858563
62,13,13,1.0,4725.383682079221,363.4910524676324,0.01599999999962165,0.01599999999962165,163,13,0,149,176,178,7,user_exit,,1 4 7 13 15 16 20,178,0.01599999999962165
63,13,13,1.0,4739.6196536404295,364.58612720311,0.031000000000858563,0.031000000000858563,152,13,0,145,165,167,7,user_exit,,1 2 7 13 15 17 19,167,0.031000000000858563
64,13,13,1.0,5019.829010408411,386.1406931083393,0.030999999999039574,0.030999999999039574,166,13,0,150,179,181,7,user_exit,,4 7 10 11 12 17 18,181,0.030999999999039574
65,11,11,1.0,4482.505401379912,407.50049103453745,0.031000000000858563,0.031000000000858563,160,11,0,147,171,173,7,user_exit,,2 3 5 9 10 11 13 15 19,173,0.031000000000858563
66,16,16,1.0,5442.660505531687,340.1662815957304,0.0319999999992433,0.0319999999992433,172,16,0,148,188,190,7,user_exit,,3 4 12 19,190,0.0319999999992433
67,15,15,1.0,4457.3040820771885,297.15360547181257,0.031000000000858563,0.031000000000858563,152,15,0,146,167,169,7,user_exit,,1 13 14 17 20,169,0.031000000000858563
68,13,13,1.0,4529.99734572207,348.4613342863131,0.030999999999039574,0.030999999999039574,151,13,0,145,164,166,7,user_exit,,1 2 6 7 8 10 19,166,0.030999999999039574
69,10,10,1.0,4079.9293601831055,407.99293601831056,0.031000000000858563,0.031000000000858563,157,10,0,147,167,169,7,user_exit,,1 2 3 4 5 6 8 12 14 19,169,0.031000000000858563
70,14,14,1.0,4855.016303582618,346.7868788273299,0.0319999999992433,0.0319999999992433,155,14,0,146,169,171,7,user_exit,,2 5 6 9 14 16,171,0.0319999999992433
71,16,16,1.0,5070.044514491789,316.87778215573684,0.04700000000048021,0.04700000000048021,164,16,0,148,180,182,7,user_exit,,6 12 14 17,182,0.04700000000048021
72,16,16,1.0,4819.926629720743,301.24541435754645,0.031000000000858563,0.031000000000858563,161,16,0,149,177,179,7,user_exit,,11 14 16 20,179,0.031000000000858563
73,15,15,1.0,5461.210146806916,364.0806764537944,0.030999999999039574,0.030999999999039574,158,15,0,145,173,175,7,user_exit,,2 5 7 9 19,175,0.030999999999039574
74,11,11,1.0,4277.631328392004,388.87557530836403,0.031000000000858563,0.031000000000858563,149,11,0,145,160,162,7,user_exit,,1 3 4 6 8 13 14 16 17,162,0.031000000000858563
75,14,14,1.0,5061.793146331579,361.5566533093985,0.0319999999992433,0.0319999999992433,162,14,0,149,176,178,7,user_exit,,1 3 4 7 12 20,178,0.0319999999992433
76,13,13,1.0,5140.930721295136,395.4562093303951,0.031000000000858563,0.031000000000858563,163,13,0,149,176,178,7,user_exit,,3 4 8 16 17 18 20,178,0.031000000000858563
77,10,10,1.0,4411.3980657711745,441.13980657711744,0.030999999999039574,0.030999999999039574,151,10,0,145,161,163,7,user_exit,,1 2 3 5 10 11 15 16 17 19,163,0.030999999999039574
78,15,15,1.0,4343.820458513132,289.5880305675421,0.031000000000858563,0.031000000000858563,159,15,0,146,174,176,7,user_exit,,4 5 9 15 16,176,0.031000000000858563
79,10,10,1.0,4271.688462855559,427.1688462855559,0.0319999999992433,0.0319999999992433,159,10,0,147,169,171,7,user_exit,,3 4 5 7 8 9 10 13 16 19,171,0.0319999999992433
80,16,16,1.0,4855.7565698219505,303.4847856138719,0.06199999999989814,0.06199999999989814,159,16,0,148,175,177,7,user_exit,,2 10 12 13,177,0.06199999999989814
81,10,10,1.0,4181.9882186402365,418.19882186402367,0.04700000000048021,0.04700000000048021,152,10,0,144,162,164,7,user_exit,,2 6 8 12 13 15 16 17 18 19,164,0.04700000000048021
82,15,15,1.0,4609.515879152457,307.3010586101638,0.06199999999989814,0.06199999999989814,160,15,0,146,175,177,7,user_exit,,2 4 8 17 19,177,0.06199999999989814
83,15,15,1.0,4548.054713687587,303.20364757917247,0.04700000000048021,0.04700000000048021,150,15,0,144,165,167,7,user_exit,,10 11 13 19 20,167,0.04700000000048021
84,14,14,1.0,4717.313079205016,336.9509342289297,0.030999999999039574,0.030999999999039574,156,14,0,148,170,172,7,user_exit,,1 3 8 14 15 17,172,0.030999999999039574
85,14,14,1.0,4998.70103239844,357.05007374274567,0.06300000000010186,0.06300000000010186,174,14,0,151,188,190,7,user_exit,,2 3 4 13 16 20,190,0.06300000000010186
86,16,16,1.0,4404.470347382691,275.2793967114182,0.04700000000048021,0.04700000000048021,151,16,0,148,167,169,7,user_exit,,9 11 15 18,169,0.04700000000048021
87,14,14,1.0,4768.221766761536,340.58726905439545,0.06199999999989814,0.06199999999989814,162,14,0,146,176,178,7,user_exit,,3 5 10 12 18 19,178,0.06199999999989814
88,13,13,1.0,5000.017380649849,384.6167215884499,0.04700000000048021,0.04700000000048021,166,13,0,149,179,181,7,user_exit,,1 5 6 7 14 18 20,181,0.04700000000048021
89,16,16,1.0,5012.287934329491,313.2679958955932,0.04700000000048021,0.04700000000048021,155,16,0,147,171,173,7,user_exit,,4 12 15 19,173,0.04700000000048021
90,14,14,1.0,4627.341497994161,330.5243927138686,0.046999999998661224,0.046999999998661224,159,14,0,146,173,175,7,user_exit,,2 5 12 15 19 20,175,0.046999999998661224
91,15,15,1.0,4903.698467069273,326.9132311379515,0.0319999999992433,0.0319999999992433,155,15,0,148,170,172,7,user_exit,,5 10 13 14 20,172,0.0319999999992433
92,13,13,1.0,4844.372503001953,372.6440386924579,0.06199999999989814,0.06199999999989814,164,13,0,146,177,179,7,user_exit,,2 3 4 7 8 11 15,179,0.06199999999989814
93,16,16,1.0,5075.382126217846,317.2113828886154,0.07799999999951979,0.07799999999951979,160,16,0,147,176,178,7,user_exit,,2 6 8 15,178,0.07799999999951979
94,10,10,1.0,4082.660924359326,408.2660924359326,0.04700000000048021,0.04700000000048021,153,10,0,144,163,165,7,user_exit,,4 6 9 10 13 14 16 18 19 20,165,0.04700000000048021
95,13,13,1.0,5024.002320648516,386.46171697296273,0.06300000000010186,0.06300000000010186,164,13,0,148,177,179,7,user_exit,,2 8 11 12 13 18 19,179,0.06300000000010186
96,15,15,1.0,4891.710929122539,326.1140619415026,0.06199999999989814,0.06199999999989814,155,15,0,146,170,172,7,user_exit,,3 7 9 15 17,172,0.06199999999989814
97,10,10,1.0,4220.151309708354,422.01513097083546,0.04700000000048021,0.04700000000048021,152,10,0,146,162,164,7,user_exit,,1 3 5 7 10 11 16 18 19 20,164,0.04700000000048021
98,12,12,1.0,4651.7289964242955,387.64408303535794,0.046000000000276486,0.046000000000276486,155,12,0,144,167,169,7,user_exit,,3 4 11 12 13 14 15 18,169,0.046000000000276486
99,16,16,1.0,4416.019419216626,276.00121370103915,0.06300000000010186,0.06300000000010186,158,16,0,149,174,176,7,user_exit,,1 6 7 13,176,0.06300000000010186
100,15,15,1.0,4947.821015560049,329.8547343706699,0.030999999999039574,0.030999999999039574,155,15,0,149,170,172,7,user_exit,,2 4 7 13 16,172,0.030999999999039574
101,12,12,1.0,4100.452895303725,341.7044079419771,0.046999999998661224,0.046999999998661224,160,12,0,149,172,174,7,user_exit,,1 3 5 8 12 13 14 20,174,0.046999999998661224
102,13,13,1.0,4375.032138565714,336.5409337358242,0.046999999998661224,0.046999999998661224,159,13,0,146,172,174,7,user_exit,,1 8 12 13 16 19 20,174,0.046999999998661224
103,13,13,1.0,4943.304101580387,380.2541616600298,0.06300000000010186,0.06300000000010186,167,13,0,146,180,182,7,user_exit,,4 5 7 9 11 17 18,182,0.06300000000010186
