seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
1,13,13,1.0,4629.329072822668,356.1022363709745,0.2179999999998472,0.2179999999998472,148,13,0,146,161,163,7,user_exit,,3 9 12 13 18 19 20,163,0.2179999999998472
2,15,15,1.0,4688.13569404791,312.542379603194,0.2660000000000764,0.2660000000000764,157,15,0,147,172,174,7,user_exit,,6 7 8 10 11,174,0.2660000000000764
3,15,15,1.0,4599.749210521636,306.64994736810905,0.21900000000005093,0.21900000000005093,156,15,0,150,171,173,7,user_exit,,3 12 15 19 20,173,0.21900000000005093
4,15,15,1.0,4562.770483540379,304.18469890269193,0.18699999999989814,0.18699999999989814,155,15,0,145,170,172,7,user_exit,,2 3 8 19 20,172,0.18699999999989814
5,14,14,1.0,4804.488597669417,343.1777569763869,0.1410000000000764,0.1410000000000764,154,14,0,147,168,170,7,user_exit,,2 9 10 13 17 20,170,0.1410000000000764
6,13,13,1.0,4263.5740318169455,327.9672332166881,0.125,0.125,155,13,0,144,168,170,7,user_exit,,1 2 3 8 10 15 20,170,0.125
7,16,16,1.0,5259.001204386574,328.68757527416085,0.09400000000005093,0.09400000000005093,158,16,0,150,174,176,7,user_exit,,2 6 11 12,176,0.09400000000005093
8,15,15,1.0,4291.843278128061,286.1228852085374,0.07799999999997453,0.07799999999997453,150,15,0,145,165,167,7,user_exit,,3 5 6 12 15,167,0.07799999999997453
9,12,12,1.0,4299.0046836629435,358.2503903052453,0.09400000000005093,0.09400000000005093,152,12,0,147,164,166,7,user_exit,,1 3 5 6 7 9 15 16,166,0.09400000000005093
10,15,15,1.0,4677.089512085619,311.8059674723746,0.1089999999999236,0.1089999999999236,158,15,0,149,173,175,7,user_exit,,1 4 5 15 20,175,0.1089999999999236
