seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
1,13,13,1.0,12611.253750867409,970.096442374416,0.03099999999994907,0.03099999999994907,634,13,14,623,661,663,31,user_exit,,3 9 12 13 18 19 20,663,0.03099999999994907
2,15,15,1.0,12714.368355809818,847.6245570539879,0.04700000000048021,0.04700000000048021,640,15,6,624,661,663,31,user_exit,,6 7 8 10 11,663,0.04700000000048021
3,15,14,0.9333333333333333,12928.181844977715,923.441560355551,0.04699999999957072,0.04699999999957072,652,14,0,628,666,668,31,user_exit,1,3 12 15 19 20,668,0.04699999999957072
4,15,15,1.0,12459.044133213338,830.6029422142225,0.06300000000010186,0.06300000000010186,634,15,5,624,654,656,31,user_exit,,2 3 8 19 20,656,0.06300000000010186
5,14,14,1.0,12794.895422160922,913.921101582923,0.03099999999994907,0.03099999999994907,627,14,13,621,654,656,31,user_exit,,2 9 10 13 17 20,656,0.03099999999994907
6,13,13,1.0,12232.984599133368,940.9988153179513,0.032000000000152795,0.032000000000152795,635,13,1,622,649,651,31,user_exit,,1 2 3 8 10 15 20,651,0.032000000000152795
7,16,16,1.0,12193.666355187197,762.1041471991998,0.04699999999957072,0.04699999999957072,644,16,1,626,661,663,31,user_exit,,2 6 11 12,663,0.04699999999957072
8,15,15,1.0,12160.78069623529,810.7187130823527,0.03099999999994907,0.03099999999994907,635,15,0,626,650,652,31,user_exit,,3 5 6 12 15,652,0.03099999999994907
9,12,12,1.0,11740.640649666317,978.3867208055264,0.01599999999962165,0.01599999999962165,626,12,0,624,638,640,31,user_exit,,1 3 5 6 7 9 15 16,640,0.01599999999962165
10,15,15,1.0,13103.562724758081,873.5708483172054,0.06300000000010186,0.06300000000010186,650,15,0,629,665,667,31,user_exit,,1 4 5 15 20,667,0.06300000000010186
11,10,10,1.0,11664.073137245008,1166.407313724501,0.03099999999994907,0.03099999999994907,629,10,0,623,639,641,31,user_exit,,4 5 6 8 11 13 14 16 17 19,641,0.03099999999994907
12,14,14,1.0,12076.04930655352,862.5749504681086,0.04699999999957072,0.04699999999957072,624,14,0,620,638,640,31,user_exit,,5 7 10 11 15 17,640,0.04699999999957072
13,16,15,0.9375,13002.559901590037,866.8373267726691,0.04700000000048021,0.04700000000048021,648,15,2,626,665,667,31,user_exit,16,4 9 13 20,667,0.04700000000048021
14,11,11,1.0,11719.103167288493,1065.3730152080448,0.04699999999957072,0.04699999999957072,632,11,3,623,646,648,31,user_exit,,1 3 7 13 15 16 18 19 20,648,0.04699999999957072
15,16,16,1.0,12038.261085240756,752.3913178275473,0.03099999999994907,0.03099999999994907,629,16,0,622,645,647,31,user_exit,,10 11 17 19,647,0.03099999999994907
16,13,13,1.0,12142.838356360717,934.0644889508244,0.03099999999994907,0.03099999999994907,632,13,4,623,649,651,31,user_exit,,3 4 11 12 13 15 19,651,0.03099999999994907
17,15,15,1.0,12079.294246101841,805.286283073456,0.04699999999957072,0.04699999999957072,635,15,2,626,652,654,31,user_exit,,3 11 14 15 18,654,0.04699999999957072
18,16,13,0.8125,13995.850763447002,1076.6039048805387,0.06300000000010186,0.06300000000010186,657,13,2,629,672,674,31,user_exit,3 10 19,5 15 17 18,674,0.06300000000010186
19,14,14,1.0,12433.394674947489,888.0996196391063,0.046000000000276486,0.046000000000276486,632,14,1,625,647,649,31,user_exit,,2 6 10 14 17 19,649,0.046000000000276486
20,16,16,1.0,12187.262759836034,761.7039224897521,0.04699999999957072,0.04699999999957072,632,16,6,624,654,656,31,user_exit,,7 10 14 16,656,0.04699999999957072
21,12,12,1.0,12029.712288869472,1002.476024072456,0.04700000000048021,0.04700000000048021,625,12,0,621,637,639,31,user_exit,,1 3 9 13 14 15 17 18,639,0.04700000000048021
22,15,15,1.0,12437.117640819459,829.1411760546306,0.04699999999957072,0.04699999999957072,634,15,0,623,649,651,31,user_exit,,4 10 12 14 20,651,0.04699999999957072
23,10,10,1.0,11920.272844006297,1192.0272844006297,0.03099999999994907,0.03099999999994907,639,10,2,625,651,653,31,user_exit,,1 5 7 11 12 15 16 18 19 20,653,0.03099999999994907
24,12,12,1.0,12009.720172376201,1000.8100143646834,0.03099999999994907,0.03099999999994907,635,12,0,623,647,649,31,user_exit,,1 4 6 9 14 16 18 20,649,0.03099999999994907
25,13,13,1.0,12544.758202574189,964.9814001980145,0.04700000000048021,0.04700000000048021,637,13,20,625,670,672,31,user_exit,,7 9 10 14 17 18 19,672,0.04700000000048021
26,16,16,1.0,12236.244397428807,764.7652748393004,0.04699999999957072,0.04699999999957072,632,16,0,626,648,650,31,user_exit,,5 6 14 15,650,0.04699999999957072
27,10,9,0.9,12252.431436451,1361.3812707167776,0.046000000000276486,0.046000000000276486,639,9,1,625,649,651,31,user_exit,5,1 7 9 11 12 13 15 16 17 20,651,0.046000000000276486
28,14,13,0.9285714285714286,12026.402172637374,925.1078594336442,0.04699999999957072,0.04699999999957072,638,13,0,626,651,653,31,user_exit,8,4 5 12 13 16 18,653,0.04699999999957072
29,16,16,1.0,12382.931416755036,773.9332135471898,0.04700000000048021,0.04700000000048021,637,16,0,625,653,655,31,user_exit,,6 9 11 19,655,0.04700000000048021
30,10,10,1.0,11482.333990904785,1148.2333990904785,0.03099999999994907,0.03099999999994907,632,10,0,623,642,644,31,user_exit,,1 7 8 9 12 13 16 18 19 20,644,0.03099999999994907
