seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
1,13,13,1.0,9190.273619409203,706.9441245699387,0.3280000000013388,0.3280000000013388,525,13,0,505,538,540,25,user_exit,,3 9 12 13 18 19 20,540,0.3280000000013388
2,15,14,0.9333333333333333,9271.958756262788,662.2827683044849,0.046999999998661224,0.046999999998661224,520,14,6,505,540,542,25,user_exit,12,6 7 8 10 11,542,0.046999999998661224
3,15,15,1.0,9060.247289616293,604.0164859744195,0.031000000000858563,0.031000000000858563,523,15,4,505,542,544,25,user_exit,,3 12 15 19 20,544,0.031000000000858563
4,15,15,1.0,9141.69938976367,609.4466259842446,0.04700000000048021,0.04700000000048021,512,15,0,502,527,529,25,user_exit,,2 3 8 19 20,529,0.04700000000048021
5,14,14,1.0,9228.826387016703,659.2018847869074,0.0319999999992433,0.0319999999992433,524,14,0,504,538,540,25,user_exit,,2 9 10 13 17 20,540,0.0319999999992433
6,13,13,1.0,8634.813642129127,664.2164340099329,0.031000000000858563,0.031000000000858563,506,13,0,502,519,521,25,user_exit,,1 2 3 8 10 15 20,521,0.031000000000858563
7,16,16,1.0,8689.276119672473,543.0797574795296,0.046999999998661224,0.046999999998661224,524,16,0,505,540,542,25,user_exit,,2 6 11 12,542,0.046999999998661224
8,15,15,1.0,8722.074930343686,581.4716620229124,0.031000000000858563,0.031000000000858563,508,15,0,502,523,525,25,user_exit,,3 5 6 12 15,525,0.031000000000858563
9,12,12,1.0,8389.214582889352,699.1012152407793,0.030999999999039574,0.030999999999039574,507,12,1,502,520,522,25,user_exit,,1 3 5 6 7 9 15 16,522,0.030999999999039574
10,15,15,1.0,9160.95842606696,610.7305617377973,0.04700000000048021,0.04700000000048021,515,15,0,504,530,532,25,user_exit,,1 4 5 15 20,532,0.04700000000048021
11,10,10,1.0,8439.345587389349,843.9345587389349,0.031000000000858563,0.031000000000858563,509,10,0,502,519,521,25,user_exit,,4 5 6 8 11 13 14 16 17 19,521,0.031000000000858563
12,14,14,1.0,9100.66094740968,650.0472105292629,0.0319999999992433,0.0319999999992433,507,14,0,501,521,523,25,user_exit,,5 7 10 11 15 17,523,0.0319999999992433
13,16,16,1.0,9366.628351335308,585.4142719584568,0.046000000000276486,0.046000000000276486,528,16,2,505,546,548,25,user_exit,,4 9 13 20,548,0.046000000000276486
14,11,11,1.0,8343.465106592574,758.4968278720521,0.0319999999992433,0.0319999999992433,519,11,1,504,531,533,25,user_exit,,1 3 7 13 15 16 18 19 20,533,0.0319999999992433
15,16,16,1.0,8754.66316754675,547.1664479716719,0.031000000000858563,0.031000000000858563,503,16,0,501,519,521,25,user_exit,,10 11 17 19,521,0.031000000000858563
16,13,13,1.0,9056.825948195255,696.6789190919427,0.030999999999039574,0.030999999999039574,511,13,0,504,524,526,25,user_exit,,3 4 11 12 13 15 19,526,0.030999999999039574
17,15,15,1.0,8637.178968898428,575.8119312598952,0.04700000000048021,0.04700000000048021,506,15,0,503,521,523,25,user_exit,,3 11 14 15 18,523,0.04700000000048021
18,16,16,1.0,9508.472621746336,594.279538859146,0.04700000000048021,0.04700000000048021,527,16,0,507,543,545,25,user_exit,,5 15 17 18,545,0.04700000000048021
19,14,14,1.0,8737.584087030387,624.1131490735991,0.030999999999039574,0.030999999999039574,503,14,0,502,517,519,25,user_exit,,2 6 10 14 17 19,519,0.030999999999039574
20,16,16,1.0,8611.383646530297,538.2114779081436,0.031000000000858563,0.031000000000858563,506,16,0,503,522,524,25,user_exit,,7 10 14 16,524,0.031000000000858563
21,12,12,1.0,9084.266866419955,757.0222388683296,0.031000000000858563,0.031000000000858563,507,12,0,500,519,521,25,user_exit,,1 3 9 13 14 15 17 18,521,0.031000000000858563
22,15,15,1.0,8357.1049171677,557.14032781118,0.0319999999992433,0.0319999999992433,515,15,0,504,530,532,25,user_exit,,4 10 12 14 20,532,0.0319999999992433
23,10,10,1.0,7996.60532915815,799.660532915815,0.031000000000858563,0.031000000000858563,511,10,0,504,521,523,25,user_exit,,1 5 7 11 12 15 16 18 19 20,523,0.031000000000858563
24,12,12,1.0,8662.195448113387,721.8496206761156,0.014999999999417923,0.014999999999417923,511,12,2,502,525,527,25,user_exit,,1 4 6 9 14 16 18 20,527,0.030999999999039574
25,13,13,1.0,8525.5274973759,655.8098074904539,0.031000000000858563,0.031000000000858563,509,13,0,503,522,524,25,user_exit,,7 9 10 14 17 18 19,524,0.031000000000858563
26,16,16,1.0,8913.529153949245,557.0955721218278,0.0319999999992433,0.0319999999992433,518,16,0,504,534,536,25,user_exit,,5 6 14 15,536,0.0319999999992433
27,10,10,1.0,8013.418976935235,801.3418976935235,0.031000000000858563,0.031000000000858563,507,10,0,503,517,519,25,user_exit,,1 7 9 11 12 13 15 16 17 20,519,0.031000000000858563
28,14,14,1.0,8792.247170510358,628.0176550364541,0.046999999998661224,0.046999999998661224,521,14,0,504,535,537,25,user_exit,,4 5 12 13 16 18,537,0.046999999998661224
29,16,16,1.0,9092.176141629487,568.2610088518429,0.031000000000858563,0.031000000000858563,518,16,0,506,534,536,25,user_exit,,6 9 11 19,536,0.031000000000858563
30,10,10,1.0,8622.367704095781,862.2367704095781,0.030999999999039574,0.030999999999039574,525,10,0,502,535,537,25,user_exit,,1 7 8 9 12 13 16 18 19 20,537,0.030999999999039574
