seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
1,13,13,1.0,8886.485661155275,683.5758200888673,0.34399999999914144,0.34399999999914144,516,13,0,502,529,531,25,user_exit,,3 9 12 13 18 19 20,531,0.34399999999914144
2,15,15,1.0,8721.731577523431,581.4487718348954,0.04700000000048021,0.04700000000048021,503,15,0,501,518,520,25,user_exit,,6 7 8 10 11,520,0.04700000000048021
3,15,15,1.0,8550.66273331227,570.044182220818,0.046000000000276486,0.046000000000276486,506,15,0,501,521,523,25,user_exit,,3 12 15 19 20,523,0.046000000000276486
4,15,15,1.0,8885.778864022386,592.3852576014924,0.04700000000048021,0.04700000000048021,508,15,0,502,523,525,25,user_exit,,2 3 8 19 20,525,0.04700000000048021
5,14,14,1.0,8978.374832596408,641.3124880426005,0.0319999999992433,0.0319999999992433,505,14,0,501,519,521,25,user_exit,,2 9 10 13 17 20,521,0.0319999999992433
6,13,13,1.0,8952.860773016631,688.6815979243563,0.046000000000276486,0.046000000000276486,503,13,0,500,516,518,25,user_exit,,1 2 3 8 10 15 20,518,0.046000000000276486
7,16,16,1.0,9246.164522230676,577.8852826394173,0.04700000000048021,0.04700000000048021,502,16,0,499,518,520,25,user_exit,,2 6 11 12,520,0.04700000000048021
8,15,15,1.0,8788.55096510651,585.9033976737672,0.046999999998661224,0.046999999998661224,505,15,0,501,520,522,25,user_exit,,3 5 6 12 15,522,0.046999999998661224
9,12,12,1.0,8618.95507097667,718.2462559147225,0.04700000000048021,0.04700000000048021,505,12,0,501,517,519,25,user_exit,,1 3 5 6 7 9 15 16,519,0.04700000000048021
10,15,15,1.0,9092.037559223663,606.1358372815776,0.04700000000048021,0.04700000000048021,512,15,0,501,527,529,25,user_exit,,1 4 5 15 20,529,0.04700000000048021
11,10,10,1.0,8171.949480180292,817.1949480180292,0.030999999999039574,0.030999999999039574,504,10,0,501,514,516,25,user_exit,,4 5 6 8 11 13 14 16 17 19,516,0.030999999999039574
12,14,14,1.0,8663.663971338874,618.8331408099195,0.030999999999039574,0.030999999999039574,505,14,0,502,519,521,25,user_exit,,5 7 10 11 15 17,521,0.030999999999039574
13,16,16,1.0,8754.284273303405,547.1427670814628,0.06300000000010186,0.06300000000010186,506,16,0,502,522,524,25,user_exit,,4 9 13 20,524,0.06300000000010186
14,11,11,1.0,8721.840454903784,792.8945868094349,0.031000000000858563,0.031000000000858563,502,11,0,500,513,515,25,user_exit,,1 3 7 13 15 16 18 19 20,515,0.031000000000858563
15,16,16,1.0,9011.99937943978,563.2499612149862,0.046999999998661224,0.046999999998661224,507,16,0,502,523,525,25,user_exit,,10 11 17 19,525,0.046999999998661224
16,13,13,1.0,8897.380639390929,684.4138953377637,0.04700000000048021,0.04700000000048021,500,13,0,499,513,515,25,user_exit,,3 4 11 12 13 15 19,515,0.04700000000048021
17,15,15,1.0,8480.590139733677,565.3726759822451,0.046000000000276486,0.046000000000276486,507,15,0,501,522,524,25,user_exit,,3 11 14 15 18,524,0.046000000000276486
18,16,16,1.0,9221.20083281448,576.325052050905,0.04700000000048021,0.04700000000048021,508,16,2,501,526,528,25,user_exit,,5 15 17 18,528,0.04700000000048021
19,14,14,1.0,8539.738915804719,609.9813511289085,0.046999999998661224,0.046999999998661224,500,14,0,499,514,516,25,user_exit,,2 6 10 14 17 19,516,0.046999999998661224
20,16,16,1.0,9319.157377050311,582.4473360656444,0.04700000000048021,0.04700000000048021,517,16,0,501,533,535,25,user_exit,,7 10 14 16,535,0.04700000000048021
21,12,12,1.0,8631.409623678594,719.2841353065495,0.04700000000048021,0.04700000000048021,508,12,0,502,520,522,25,user_exit,,1 3 9 13 14 15 17 18,522,0.04700000000048021
22,15,15,1.0,8999.41942416647,599.9612949444313,0.04700000000048021,0.04700000000048021,505,15,0,501,520,522,25,user_exit,,4 10 12 14 20,522,0.04700000000048021
23,10,10,1.0,8733.657662294614,873.3657662294614,0.030999999999039574,0.030999999999039574,510,10,0,500,520,522,25,user_exit,,1 5 7 11 12 15 16 18 19 20,522,0.030999999999039574
24,12,12,1.0,8531.644289859016,710.9703574882514,0.04700000000048021,0.04700000000048021,500,12,0,499,512,514,25,user_exit,,1 4 6 9 14 16 18 20,514,0.04700000000048021
25,13,13,1.0,8552.182059027162,657.8601583867047,0.030999999999039574,0.030999999999039574,500,13,0,499,513,515,25,user_exit,,7 9 10 14 17 18 19,515,0.030999999999039574
26,16,16,1.0,9444.874433030882,590.3046520644301,0.030999999999039574,0.030999999999039574,505,16,0,502,521,523,25,user_exit,,5 6 14 15,523,0.030999999999039574
