seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
1,13,12,0.9230769230769231,13045.19979341319,1087.0999827844325,0.03099999999994907,0.03099999999994907,649,12,0,622,661,663,31,user_exit,15,3 9 12 13 18 19 20,663,0.03099999999994907
2,15,15,1.0,12045.559309257886,803.0372872838591,0.032000000000152795,0.032000000000152795,623,15,0,620,638,640,31,user_exit,,6 7 8 10 11,640,0.032000000000152795
3,15,14,0.9333333333333333,12901.69958364758,921.5499702605414,0.04699999999957072,0.04699999999957072,650,14,0,622,664,666,31,user_exit,13,3 12 15 19 20,666,0.04699999999957072
4,15,12,0.8,14814.184970308874,1234.515414192406,0.046000000000276486,0.046000000000276486,697,12,0,623,709,711,31,user_exit,5 6 10,2 3 8 19 20,711,0.046000000000276486
5,14,14,1.0,12304.641451301062,878.9029608072187,0.04699999999957072,0.04699999999957072,624,14,0,622,638,640,31,user_exit,,2 9 10 13 17 20,640,0.04699999999957072
6,13,12,0.9230769230769231,12948.26011154516,1079.0216759620967,0.04700000000048021,0.04700000000048021,646,12,0,621,658,660,31,user_exit,14,1 2 3 8 10 15 20,660,0.04700000000048021
7,16,16,1.0,12626.302241851145,789.1438901156965,0.06300000000010186,0.06300000000010186,622,16,0,619,638,640,31,user_exit,,2 6 11 12,640,0.06300000000010186
8,15,14,0.9333333333333333,14166.189612728247,1011.8706866234462,0.04699999999957072,0.04699999999957072,650,14,0,622,664,666,31,user_exit,4,3 5 6 12 15,666,0.04699999999957072
9,12,9,0.75,16931.504412666556,1881.2782680740618,0.046000000000276486,0.046000000000276486,696,9,0,623,705,707,31,user_exit,2 11 20,1 3 5 6 7 9 15 16,707,0.046000000000276486
10,15,13,0.8666666666666667,14152.082230119628,1088.6217100092022,0.06300000000010186,0.06300000000010186,670,13,0,621,683,685,31,user_exit,14 17,1 4 5 15 20,685,0.06300000000010186
11,10,9,0.9,12659.551155256238,1406.616795028471,0.04699999999957072,0.04699999999957072,650,9,0,622,659,661,31,user_exit,10,4 5 6 8 11 13 14 16 17 19,661,0.04699999999957072
12,14,14,1.0,11685.208153207881,834.6577252291344,0.04700000000048021,0.04700000000048021,620,14,0,619,634,636,31,user_exit,,5 7 10 11 15 17,636,0.04700000000048021
13,16,15,0.9375,13098.133613493812,873.2089075662541,0.04699999999957072,0.04699999999957072,650,15,0,625,665,667,31,user_exit,12,4 9 13 20,667,0.04699999999957072
14,11,11,1.0,12264.550478791945,1114.9591344356313,0.046000000000276486,0.046000000000276486,622,11,0,620,633,635,31,user_exit,,1 3 7 13 15 16 18 19 20,635,0.046000000000276486
15,16,15,0.9375,12690.672991989366,846.0448661326244,0.04699999999957072,0.04699999999957072,650,15,0,623,665,667,31,user_exit,15,10 11 17 19,667,0.04699999999957072
16,13,13,1.0,12120.64377325908,932.3572133276216,0.04700000000048021,0.04700000000048021,624,13,0,621,637,639,31,user_exit,,3 4 11 12 13 15 19,639,0.04700000000048021
17,15,14,0.9333333333333333,12635.742151794579,902.5530108424699,0.04699999999957072,0.04699999999957072,650,14,0,622,664,666,31,user_exit,20,3 11 14 15 18,666,0.04699999999957072
18,16,14,0.875,14134.557308076632,1009.611236291188,0.04700000000048021,0.04700000000048021,674,14,0,622,688,690,31,user_exit,7 12,5 15 17 18,690,0.04700000000048021
19,14,14,1.0,11941.684215671346,852.9774439765248,0.04699999999957072,0.04699999999957072,624,14,0,620,638,640,31,user_exit,,2 6 10 14 17 19,640,0.04699999999957072
20,16,16,1.0,12287.775615675764,767.9859759797353,0.03099999999994907,0.03099999999994907,620,16,0,619,636,638,31,user_exit,,7 10 14 16,638,0.03099999999994907
