seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
1,13,13,1.0,52120.460847462964,4009.2662190356127,13.73399999999856,13.73399999999856,660,13,0,170,673,675,7,user_exit,3 9 12 13 18 19 20,,675,13.73399999999856
2,15,15,1.0,40645.375746204074,2709.691716413605,10.96900000000096,10.96900000000096,566,15,4,169,585,587,7,user_exit,6 7 8 10 11,,587,10.96900000000096
3,15,15,1.0,41862.43692590005,2790.8291283933368,10.686999999999898,10.686999999999898,572,15,0,167,587,589,7,user_exit,3 12 15 19 20,,589,10.70299999999952
4,15,15,1.0,38347.761795368,2556.5174530245336,10.640999999999622,10.640999999999622,543,15,0,168,558,560,7,user_exit,2 3 8 19 20,,560,10.640999999999622
5,14,14,1.0,46775.87468016865,3341.133905726332,11.609000000000378,11.609000000000378,609,14,0,167,623,625,7,user_exit,2 9 10 13 17 20,,625,11.609000000000378
6,13,13,1.0,47169.57748911603,3628.4290376243102,12.156000000000859,12.156000000000859,644,13,1,168,658,660,7,user_exit,1 2 3 8 10 15 20,,660,12.156000000000859
7,16,16,1.0,29698.782064427352,1856.1738790267095,7.296999999998661,7.296999999998661,432,16,0,164,448,450,7,user_exit,2 6 11 12,,450,7.296999999998661
8,15,15,1.0,40749.01673746322,2716.6011158308816,10.438000000000102,10.438000000000102,574,15,1,167,590,592,7,user_exit,3 5 6 12 15,,592,10.438000000000102
9,12,12,1.0,63766.34490766544,5313.862075638787,18.48400000000038,18.48400000000038,801,12,0,174,813,815,7,user_exit,1 3 5 6 7 9 15 16,,815,18.48400000000038
10,15,14,0.9333333333333333,42665.97645333857,3047.5697466670404,11.359000000000378,11.359000000000378,589,14,0,167,603,605,7,user_exit,1 4 5 13 15 20,,605,11.359000000000378
11,10,10,1.0,66727.40919698408,6672.740919698408,19.09400000000096,19.09400000000096,832,10,0,176,842,844,7,user_exit,4 5 6 8 11 13 14 16 17 19,,844,19.09400000000096
12,14,14,1.0,44557.25184446479,3182.660846033199,12.811999999999898,12.811999999999898,584,14,0,166,598,600,7,user_exit,5 7 10 11 15 17,,600,12.811999999999898
13,16,16,1.0,40567.87221377435,2535.492013360897,10.843999999999141,10.843999999999141,554,16,0,164,570,572,7,user_exit,4 9 13 20,,572,10.843999999999141
