m,r_wl,aperture,k_db,rho,snr_db,duty,n_episodes,n_sources,false_absence,false_absence_rate,cleared_fraction,certified_rate,virtual_time_mean
8,0.2,1.6,3.0,0.7079457843841379,12.0,1.0,20,284,165,0.5809859154929577,0.14084507042253522,0.0,28237.172783184484
8,0.2,1.6,5.0,0.5623413251903491,12.0,1.0,20,284,149,0.5246478873239436,0.23943661971830985,0.0,26059.02783837545
8,0.2,1.6,7.0,0.44668359215096315,12.0,1.0,20,284,129,0.45422535211267606,0.2852112676056338,0.0,26466.13739712668
8,0.2,1.6,9.0,0.35481338923357547,12.0,1.0,20,284,91,0.3204225352112676,0.46830985915492956,0.0,22335.319181274717
8,0.2,1.6,11.0,0.28183829312644537,12.0,1.0,20,284,68,0.23943661971830985,0.6267605633802817,0.0,18190.09614745915
8,0.35,2.8,3.0,0.7079457843841379,12.0,1.0,20,284,171,0.602112676056338,0.1443661971830986,0.0,26465.47566900703
8,0.35,2.8,5.0,0.5623413251903491,12.0,1.0,20,284,150,0.528169014084507,0.2147887323943662,0.0,27441.343955159282
8,0.35,2.8,7.0,0.44668359215096315,12.0,1.0,20,284,133,0.46830985915492956,0.31690140845070425,0.0,23815.070760387876
8,0.35,2.8,9.0,0.35481338923357547,12.0,1.0,20,284,75,0.2640845070422535,0.5140845070422535,0.0,21457.450719017732
8,0.35,2.8,11.0,0.28183829312644537,12.0,1.0,20,284,57,0.2007042253521127,0.6654929577464789,0.0,16749.226557142516
8,0.6,4.8,3.0,0.7079457843841379,12.0,1.0,20,284,135,0.4753521126760563,0.2323943661971831,0.0,27021.02946826864
8,0.6,4.8,5.0,0.5623413251903491,12.0,1.0,20,284,111,0.3908450704225352,0.323943661971831,0.0,23922.916022099824
8,0.6,4.8,7.0,0.44668359215096315,12.0,1.0,20,284,80,0.28169014084507044,0.5035211267605634,0.0,21858.913594914447
8,0.6,4.8,9.0,0.35481338923357547,12.0,1.0,20,284,50,0.176056338028169,0.6936619718309859,0.05,15213.407296220417
8,0.6,4.8,11.0,0.28183829312644537,12.0,1.0,20,284,19,0.06690140845070422,0.8626760563380281,0.25,12740.965679644938
16,0.9,14.4,3.0,0.7079457843841379,12.0,1.0,20,284,114,0.4014084507042254,0.38028169014084506,0.0,23436.65789448775
16,0.9,14.4,5.0,0.5623413251903491,12.0,1.0,20,284,45,0.15845070422535212,0.6619718309859155,0.0,18355.760199594697
16,0.9,14.4,7.0,0.44668359215096315,12.0,1.0,20,284,21,0.07394366197183098,0.8732394366197183,0.1,12836.862489588342
16,0.9,14.4,9.0,0.35481338923357547,12.0,1.0,20,284,6,0.02112676056338028,0.954225352112676,0.65,10747.95773139806
16,0.9,14.4,11.0,0.28183829312644537,12.0,1.0,20,284,0,0.0,1.0,1.0,10338.317773852243
16,1.2,19.2,3.0,0.7079457843841379,12.0,1.0,20,284,67,0.23591549295774647,0.6232394366197183,0.0,18576.112422493337
16,1.2,19.2,5.0,0.5623413251903491,12.0,1.0,20,284,25,0.0880281690140845,0.852112676056338,0.0,13802.06329168524
16,1.2,19.2,7.0,0.44668359215096315,12.0,1.0,20,284,2,0.007042253521126761,0.9929577464788732,0.9,10269.873048036632
16,1.2,19.2,9.0,0.35481338923357547,12.0,1.0,20,284,0,0.0,1.0,1.0,10216.977793824675
16,1.2,19.2,11.0,0.28183829312644537,12.0,1.0,20,284,0,0.0,1.0,1.0,10181.209617524768
