m,r_wl,aperture,k_db,rho,snr_db,duty,n_episodes,n_sources,false_absence,false_absence_rate,cleared_fraction,certified_rate,virtual_time_mean
8,0.2,1.6,7.0,0.44668359215096315,6.0,1.0,20,284,116,0.4084507042253521,0.3415492957746479,0.0,26332.419636350816
8,0.2,1.6,7.0,0.44668359215096315,12.0,1.0,20,284,129,0.45422535211267606,0.2852112676056338,0.0,26466.13739712668
8,0.2,1.6,7.0,0.44668359215096315,20.0,1.0,20,284,119,0.41901408450704225,0.30633802816901406,0.0,27042.957472924107
8,0.35,2.8,7.0,0.44668359215096315,6.0,1.0,20,284,119,0.41901408450704225,0.352112676056338,0.0,23395.558135336527
8,0.35,2.8,7.0,0.44668359215096315,12.0,1.0,20,284,133,0.46830985915492956,0.31690140845070425,0.0,23815.070760387876
8,0.35,2.8,7.0,0.44668359215096315,20.0,1.0,20,284,118,0.4154929577464789,0.34507042253521125,0.0,23849.121959654218
8,0.6,4.8,7.0,0.44668359215096315,6.0,1.0,20,284,76,0.2676056338028169,0.5070422535211268,0.0,20782.21683043641
8,0.6,4.8,7.0,0.44668359215096315,12.0,1.0,20,284,80,0.28169014084507044,0.5035211267605634,0.0,21858.913594914447
8,0.6,4.8,7.0,0.44668359215096315,20.0,1.0,20,284,80,0.28169014084507044,0.5316901408450704,0.0,20652.46913770507
16,0.9,14.4,7.0,0.44668359215096315,6.0,1.0,20,284,19,0.06690140845070422,0.8838028169014085,0.15,12785.530582797193
16,0.9,14.4,7.0,0.44668359215096315,12.0,1.0,20,284,21,0.07394366197183098,0.8732394366197183,0.1,12836.862489588342
16,0.9,14.4,7.0,0.44668359215096315,20.0,1.0,20,284,26,0.09154929577464789,0.8661971830985915,0.1,11948.459413219267
16,1.2,19.2,7.0,0.44668359215096315,6.0,1.0,20,284,1,0.0035211267605633804,0.9964788732394366,0.95,10272.321535916288
16,1.2,19.2,7.0,0.44668359215096315,12.0,1.0,20,284,2,0.007042253521126761,0.9929577464788732,0.9,10269.873048036632
16,1.2,19.2,7.0,0.44668359215096315,20.0,1.0,20,284,0,0.0,0.9964788732394366,0.95,10265.624383056569
